14,2,3,4,5,6,7,8,9,10,11,12,13,14
Wafer Check NB inches,Wafer Check NB mm,od,Face to Face,nim mating flg bore,id,no of bolts,bolt length,111,bolt dia M,bolt dia,Weight Kg,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,112,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,113,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,114,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,115,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1,25,N/A,N/A,N/A,N/A,N/A,N/A,116,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,117,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/2,40,3.375,2,N/A,1.9,4,5,118,14,0+1/2,2,VIEW LOOKING UPSTREAM,SECTION PLAN
2,50,4.125,2.38,N/A,2.37,4,6,119,16,0+5/8,3,VIEW LOOKING UPSTREAM,SECTION PLAN
3,80,5.375,2.88,2.125,3.5,4,7,120,16,0+5/8,7,VIEW LOOKING UPSTREAM,SECTION PLAN
4,100,6.875,2.88,3.375,4.5,8,7,121,16,0+5/8,8,VIEW LOOKING UPSTREAM,SECTION PLAN
6,150,8.75,3.88,5.5,6.62,8,8.25,122,20,0+3/4,18,VIEW LOOKING UPSTREAM,SECTION PLAN
8,200,11,5,7.375,8.62,8,9.75,123,20,0+3/4,32,VIEW LOOKING UPSTREAM,SECTION PLAN
10,250,13.375,5.75,9.5625,10.75,12,11,124,24,0+7/8,53,VIEW LOOKING UPSTREAM,SECTION PLAN
12,300,16.125,7.12,11.25,12.75,12,12.25,125,24,0+7/8,98,VIEW LOOKING UPSTREAM,SECTION PLAN
14,350,17.75,7.25,12.375,14,12,13,126,27,1,100,VIEW LOOKING UPSTREAM,SECTION PLAN
16,400,20.25,7.5,14,16,16,13.5,127,27,1,134,VIEW LOOKING UPSTREAM,SECTION PLAN
18,450,21.625,8,16.375,18,16,14.5,128,30,1+1/8,144,VIEW LOOKING UPSTREAM,SECTION PLAN
20,500,23.875,8.62,18.375,20,20,15.12,129,30,1+1/8,198,VIEW LOOKING UPSTREAM,SECTION PLAN
24,600,28.25,8.75,22.375,24,20,16.25,130,33,1+1/4,307,VIEW LOOKING UPSTREAM,SECTION PLAN
30,750,34.75,12,27.75,30,28,19.37,131,33,1+1/4,472,VIEW LOOKING UPSTREAM,SECTION PLAN
36,900,41.25,14.5,34.125,36,32,23,132,39,1+1/2,683,VIEW LOOKING UPSTREAM,SECTION PLAN
42,1050,48,17,38.625,42,36,26,133,39,1+1/2,1271,VIEW LOOKING UPSTREAM,SECTION PLAN
48,1200,54.5,20.62,43,48,44,27.87,134,39,1+1/2,1996,VIEW LOOKING UPSTREAM,SECTION PLAN
