13,2,3,4,5,6,7,8,9,10,11,12,13
Control Valve NB inches,Control Valve NB mm,RF Face to Face,RTJ Face to Face,Height,Diaphram Diameter,Side HW Standout,Side HW Diameter,N/A,N/A,weight RF/RTJ,weight BW,Note1
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3,In Header
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.5,5.5,In Header
1,25,184.15,196.85,777.875,288.925,284.1625,304.8,N/A,N/A,10,7,In Header
1+1/4,32,200.025,212.725,777.875,288.925,284.1625,304.8,N/A,N/A,14,10,In Header
1+1/2,40,222.25,234.95,898.525,333.375,284.1625,304.8,N/A,N/A,18,15,In Header
2,50,254,266.7,1025.525,333.375,284.1625,304.8,N/A,N/A,23.6,18,In Header
2+1/2,65,N/A,N/A,1025.525,333.375,284.1625,304.8,N/A,N/A,43,34,In Header
3,80,298.45,311.15,1066.8,333.375,284.1625,304.8,N/A,N/A,43,34,In Header
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
4,100,352.425,365.125,1244.6,406.4,374.65,356.39375,N/A,N/A,61.2,48,In Header
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
6,150,450.85,463.55,1447.8,406.4,378.61875,357.1875,N/A,N/A,108.8,88,In Header
8,200,542.925,552.45,1473.2,473.075,378.61875,357.98125,N/A,N/A,170.5,136,In Header
10,250,673.1,685.8,1822.45,533.4,378.61875,357.98125,N/A,N/A,276.6,228,In Header
12,300,736.6,749.3,1828.8,533.4,378.61875,357.98125,N/A,N/A,385.5,313,In Header
