13,2,3,4,5,6,7,8,9,10,11,12,13
Control Valve NB inches,Control Valve NB mm,RF Face to Face,RTJ Face to Face,Height,Diaphram Diameter,Side HW Standout,Side HW Diameter,N/A,N/A,weight RF/RTJ,weight BW,Note1
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
1,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.5,32,In Header
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49,41,In Header
1+1/2,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.2,51,In Header
2,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.9,62,In Header
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,77,In Header
3,80,441.325,479.425,914.4,333.375,285.75,304.8,N/A,N/A,116.1,92,In Header
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
4,100,511.175,514.35,1104.9,406.4,374.65,356.39375,N/A,N/A,199.5,152,In Header
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
6,150,714.375,717.55,1168.4,406.4,377.825,356.39375,N/A,N/A,408.2,308,In Header
