18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Valve,,A,B,C,D,E,H,J,K,L,M,N,P1,P2,Weight,bolt,bolt
size,met size,f to f,oa ht,handl lug,lud sq,width,int dia,ctr to end,pcd,boly qty,bolt dia,min id,pjn in pipe 1,pjn in pipe 2,Weight KG,blt size,LEN
3,80,48,295,83,16,207,80,118,168,8,0+3/4,74,16,20,11.36,M20,35
4,100,54,348,83,19,238,102,146,200,8,0+3/4,97,25,28,17.72,M20,35
6,150,59,412,83,25,308,147,178,270,12,0+3/4,147,45,46,28.18,M20,45
8,200,73,480,89,32,375,189,210,330,12,0+7/8,194,56,65,42.27,M24,45
10,250,83,560,89,38,438,235,243,387,16,1,243,75,82,78.18,M27,50
12,300,92,652,89,44,507,281,279,451,16,1+1/8,289,94,99,130.9,M30,65
14,350,117,809,146,51,571,320,346,514,20,1+1/8,318,103,106,201.36,M30,65
16,400,133,856,146,64,635,367,375,572,20,1+1/4,363,117,121,282.72,M33,70
18,450,149,925,146,64,692,414,400,629,24,1+1/4,409,135,138,351.36,M33,70
20,500,159,975,146,76,749,461,432,686,24,1+1/4,456,153,157,368.18,M33,70
24,600,181,1106,146,89,889,548,495,813,24,1+1/2,548,187,190,715.45,M39,85
