21,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,Height,Lever Length,Hand Wheel Spindle Height,Hand Wheel Diameter,Hand Wheel Spindle Length,Hand Wheel Spindle Offset,weight RF/RTJ,weight BW,RF-F/F Short Pattern,RTJ-F/F Sort Pattern,BW-F/F Short Pattern,RTJ Addition,RTJ Gap,Long Pattern,Short Pattern,Section - Full Bore Valve
0+3/4,20,N/A,N/A,N/A,0,0,0,0,0,0,20,20,N/A,N/A,N/A,0,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
1,25,10,10,10,6,12,0,0,0,0,38,22,N/A,N/A,N/A,0,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
1+1/4,32,11,11,11,6,12,0,0,0,0,44,24,N/A,N/A,N/A,0,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
1+1/2,40,12,12,12,6,15,0,0,0,0,46,26,N/A,N/A,N/A,0,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
2,50,14.5,14.62,14.5,8,20,0,0,0,0,48,28,N/A,N/A,N/A,0.12,0.12,Long Pattern,Short Pattern,Section - Full Bore Valve
2+1/2,65,16.5,16.62,16.5,8,28,0,0,0,0,60,30,N/A,N/A,N/A,0.12,0.12,Long Pattern,Short Pattern,Section - Full Bore Valve
3,80,15,15.12,15,9,36,7,25,13,3,55,32,N/A,N/A,N/A,0.12,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
4,100,18,18.12,18,10,36,7,25,13,3,86,68,N/A,N/A,N/A,0.12,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
5,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.12,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
6,150,24,24.12,24,14,60,11,25,15,5,182,118,N/A,N/A,N/A,0.12,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
8,200,29,29.12,29,16,60,13,25,15,5,386,295,N/A,N/A,N/A,0.12,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
10,250,33,33.12,33,23,67,13,25,15,8,586,330,N/A,N/A,N/A,0.12,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
12,300,38,38.12,38,26,67,13,25,15,8,773,505,N/A,N/A,N/A,0.12,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
14,350,40.5,40.88,40.5,31,67,19,43,20,9,1250,764,N/A,N/A,N/A,0.38,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
16,400,44.5,44.88,44.5,34,78,21,43,20,9,1659,1045,N/A,N/A,N/A,0.38,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
18,450,48,48.5,48,40,78,22,43,20,9,1800,1300,N/A,N/A,N/A,0.5,0.19,Long Pattern,Short Pattern,Section - Full Bore Valve
20,500,52,52.5,52,48,78,28,43,23,14,2000,1700,N/A,N/A,N/A,0.5,0.19,Long Pattern,Short Pattern,Section - Full Bore Valve
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
24,600,61,61.75,61,48,78,30,43,23,14,3200,2400,N/A,N/A,N/A,0.75,0.22,Long Pattern,Short Pattern,Section - Full Bore Valve
