14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,N/A,Height,N/A,N/A,BW F/F Short Pattern,RF/RTJ KG,BW KG,RTJ Addition,RTJ Gap
0+1/2,15,8.5,8.5,8.5,N/A,4.33,N/A,N/A,N/A,21,18,0,0.16
0+3/4,20,9,9,9,N/A,5.51,N/A,N/A,N/A,30,26,0,0.16
1,25,10,10,10,N/A,6.69,N/A,N/A,N/A,38,33,0,0.16
1+1/4,32,11,11,11,N/A,7.87,N/A,N/A,N/A,49,42,0,0.16
1+1/2,40,12,12,12,N/A,9.84,N/A,N/A,N/A,61,52,0,0.16
2,50,14.5,14.62,14.5,N/A,12.2,N/A,N/A,8.5,69,59,0.12,0.12
2+1/2,65,16.5,16.62,16.5,N/A,12.2,N/A,N/A,10,93,79,0.12,0.12
3,80,18.5,18.62,18.5,N/A,12.99,N/A,N/A,12,140,119,0.12,0.12
4,100,21.5,21.62,21.5,N/A,13.97,N/A,N/A,16,232,198,0.12,0.12
5,125,26.5,26.62,26.5,N/A,0,N/A,N/A,19,320,300,0.12,0.12
6,150,27.75,28,27.75,N/A,15.74,N/A,N/A,22,490,417,0.25,0.12
8,200,32.75,33.13,32.75,N/A,20.86,N/A,N/A,28,990,842,0.38,0.16
10,250,39,39.38,39,N/A,22.04,N/A,N/A,34,1490,1267,0.38,0.16
12,300,44.5,45.12,44.5,N/A,25.59,N/A,N/A,39,1970,1675,0.62,0.19
14,350,49.5,50.25,49.5,N/A,30.9,N/A,N/A,42,2450,2083,0.75,0.22
16,400,54.5,55.38,54.5,N/A,36.61,N/A,N/A,47,3205,2725,0.88,0.31
18,450,60.5,61.38,60.5,N/A,31.49,N/A,N/A,N/A,3900,3315,0.88,0.31
20,500,65.5,66.38,65.5,N/A,34.25,N/A,N/A,N/A,4600,3910,0.88,0.38
22,550,N/A,N/A,N/A,N/A,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,76.5,77.62,76.5,N/A,39.37,N/A,N/A,N/A,5300,4505,1.12,0.44
