18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Valve,,A,B,C,D,E,H,J,K,L,M,N,P1,P2,Weight,m blts,blt len
size,met size,f to f,oa ht,handl lug,lud sq,width,int dia,ctr to end,pcd,boly qty,bolt dia,min id,pjn in pipe 1,pjn in pipe 2,Weight KG,blt size,LEN
3,80,48,289,83,16,131,80,118,168,8,0+5/8,74,16,20,6.81,M16,165
4,100,54,342,83,19,161,102,146,200,8,0+5/8,97,25,28,10.9,M16,175
6,150,59,407,83,25,220,147,178,270,12,0+3/4,147,45,46,15.9,M20,190
8,200,73,473,89,32,276,189,210,330,12,0+3/4,194,56,65,26.81,M20,220
10,250,83,585,89,38,329,235,243,387,16,0+7/8,243,75,82,49.09,M24,250
12,300,92,652,89,44,388,281,279,451,16,1+1/8,289,94,99,71.81,M30,275
14,350,117,809,146,51,413,320,346,514,20,1+1/8,318,103,106,105.45,M30,305
16,400,133,856,146,64,470,367,375,572,20,1+1/4,363,117,121,195.45,M33,340
18,450,149,925,146,64,533,414,400,629,24,1+1/4,409,135,138,247.27,M33,355
20,500,159,975,146,76,584,461,432,686,24,1+1/4,456,153,157,293.18,M33,375
24,600,181,1106,146,89,692,548,495,813,24,1+1/2,548,187,190,456.81,M39,425
