14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ F/F,BW-F/F,Height-HW,Diam-HW,N/A,N/A,N/A,RF/RTJ KG,BW KG,RTJ Add Len,gap
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,25,254,254,254,460,177,N/A,N/A,N/A,38,32,0,4
1+1/4,32,279,279,279,500,203,N/A,N/A,N/A,49,41,0,4
1+1/2,40,305,305,305,570,254,N/A,N/A,N/A,61,51,0,4
2,50,368,371,368,559,250,N/A,N/A,N/A,82,69,3,3
2+1/2,65,419,422,419,673,400,N/A,N/A,N/A,127,107,3,3
3,80,470,473,470,711,400,N/A,N/A,N/A,168,142,3,3
4,100,546,549,546,838,500,N/A,N/A,N/A,277,235,3,3
5,125,673,676,673,838,500,N/A,N/A,N/A,300,280,3,3
6,150,705,711,705,1397,600,N/A,N/A,N/A,640,544,6,3
8,200,832,842,832,1822,560,N/A,N/A,N/A,1180,1003,10,4
10,250,991,1001,991,2051,560,N/A,N/A,N/A,2118,1800,10,4
12,300,1130,1146,1130,2134,560,N/A,N/A,N/A,3244,2757,16,5
14,350,1257,1276,1257,2267,560,N/A,N/A,N/A,3693,3139,19,6
16,400,1384,1406,1384,2420,560,N/A,N/A,N/A,4890,4156,22,8
18,450,1537,1559,1537,2600,560,N/A,N/A,N/A,7000,5950,22,8
20,500,1664,1686,1664,2800,560,N/A,N/A,N/A,7555,6421,22,10
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,1943,1971,1943,2800,560,N/A,N/A,N/A,9096,7731,28,11
