13,2,3,4,5,6,7,8,9,10,11,12,13
Control Valve NB inches,Control Valve NB mm,RF Face to Face,RTJ Face to Face,Height,Diaphram Diameter,Side HW Standout,Side HW Diameter,N/A,N/A,weight RF/RTJ,weight BW,Note1
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,23,In Header
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,33,In Header
1,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,50,In Header
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,60,In Header
1+1/2,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,70,In Header
2,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120,85,In Header
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150,80,In Header
3,80,498.475,504.825,908,333,285.75,304.8,N/A,N/A,140,85,In Header
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
4,100,574.675,584.2,1123,406.4,374.65,356.39375,N/A,N/A,225,111,In Header
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
6,150,819.15,831.85,1184,406,377.825,356.39375,N/A,N/A,770,474,In Header
