14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ F/F,BW-F/F,Height-HW,Diam-HW,N/A,N/A,N/A,RF/RTJ KG,BW KG,extra len,gap
0+1/2,15,6.5,6.44,6.5,11.9,5.9,N/A,N/A,N/A,5,4,-0.06,0.12
0+3/4,20,7.5,7.5,7.5,12.9,6.9,N/A,N/A,N/A,10,8,0,0.16
1,25,8.5,8.5,8.5,13.9,7.9,N/A,N/A,N/A,15,12,0,0.16
1+1/4,32,9,9,9,14.5,7.9,N/A,N/A,N/A,26,22,0,0.16
1+1/2,40,9.5,9.5,9.5,15.7,10,N/A,N/A,N/A,27,22,0,0.16
2,50,11.5,11.62,11.5,18,9.8,N/A,N/A,N/A,46,39,0.12,0.19
2+1/2,65,13,13.12,13,20,9.8,N/A,N/A,N/A,55,46,0.12,0.19
3,80,14,14.12,14,22.4,9.8,N/A,N/A,N/A,72,61,0.12,0.19
4,100,17,17.12,17,49.4,23.6,N/A,N/A,N/A,120,100,0.12,0.19
5,125,20,20.12,20,49.4,23.6,N/A,N/A,N/A,190,165,0.12,0.19
6,150,22,22.12,22,34.3,19.6,N/A,N/A,N/A,253,215,0.12,0.19
8,200,26,26.12,26,43.3,22,N/A,N/A,N/A,413,351,0.12,0.19
10,250,31,31.12,31,50.3,25.1,N/A,N/A,N/A,623,529,0.12,0.19
12,300,33,33.12,33,57.7,26.7,N/A,N/A,N/A,981,833,0.12,0.19
14,350,35,35.12,35,63.8,29.9,N/A,N/A,N/A,1316,1118,0.12,0.19
16,400,39,39.12,39,71.4,29.9,N/A,N/A,N/A,1672,1421,0.12,0.19
18,450,43,43.12,43,88.9,22,N/A,N/A,N/A,2070,1759,0.12,0.19
20,500,47,47.25,47,106.4,22,N/A,N/A,N/A,2405,2044,0.25,0.19
22,550,51,51.38,51,108,22,N/A,N/A,N/A,3000,2800,0.38,0.22
24,600,55,55.38,55,110.6,22,N/A,N/A,N/A,4550,3867,0.38,0.22
26,650,57,N/A,57,115,22,N/A,N/A,N/A,5260,4471,N/A,N/A
28,700,61,N/A,61,123.4,22,N/A,N/A,N/A,5960,5066,N/A,N/A
30,750,65,N/A,65,130.9,22,N/A,N/A,N/A,6700,5695,N/A,N/A
32,800,70,N/A,70,140.9,22,N/A,N/A,N/A,8312,7065,N/A,N/A
34,850,76,N/A,76,150,22,N/A,N/A,N/A,9000,7800,N/A,N/A
36,900,82,N/A,82,157.9,22,N/A,N/A,N/A,10125,8606,N/A,N/A
