14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,Height-HW,Diam-HW,N/A,N/A,N/A,RF/RTJ KG,BW KG,RTJ Addition,RTJ Gap
0+1/2,15,6.5,6.44,6.5,11.9,5.9,N/A,N/A,N/A,5,7,-0.06,0.12
0+3/4,20,7.5,7.5,7.5,12.9,6.9,N/A,N/A,N/A,10,9,0,0.16
1,25,8.5,8.5,8.5,13.9,7.9,N/A,N/A,N/A,15,13,0,0.16
1+1/4,32,9,9,9,16.7,7.9,N/A,N/A,N/A,26,22,0,0.16
1+1/2,40,9.5,9.5,9.5,15.7,10,N/A,N/A,N/A,27,23,0,0.16
2,50,11.5,11.62,11.5,23.6,11.8,N/A,N/A,N/A,57,49,0.12,0.19
2+1/2,65,13,13.12,13,25.9,13.7,N/A,N/A,N/A,73,62,0.12,0.19
3,80,14,14.12,14,26.1,13.7,N/A,N/A,N/A,89,76,0.12,0.19
4,100,17,17.12,17,31.4,19.6,N/A,N/A,N/A,149,127,0.12,0.19
5,125,20,20.12,20,39.9,23.6,N/A,N/A,N/A,330,290,0.12,0.19
6,150,22,22.12,22,45,23.6,N/A,N/A,N/A,417,355,0.12,0.19
8,200,26,26.12,26,50.3,22,N/A,N/A,N/A,542,461,0.12,0.19
10,250,31,31.12,31,55.5,22,N/A,N/A,N/A,700,595,0.12,0.19
12,300,33,33.12,33,57.7,22,N/A,N/A,N/A,900,765,0.12,0.19
