14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,N/A,Height,N/A,N/A,BW F/F Short Pattern,RF/RTJ KG,BW KG,RTJ Addition,RTJ Gap
0+3/4,20,9,9,9,N/A,5.11,N/A,N/A,N/A,20,17,N/A,N/A
1,25,10,10,10,N/A,6.29,N/A,N/A,N/A,38,33,0,0.16
1+1/4,32,11,11,11,N/A,7.48,N/A,N/A,N/A,49,42,0,0.16
1+1/2,40,12,12,12,N/A,8.66,N/A,N/A,N/A,61,52,0,0.16
2,50,14.5,14.62,14.5,N/A,9.84,N/A,N/A,N/A,69,59,0.12,0.12
2+1/2,65,16.5,16.62,16.5,N/A,10.62,N/A,N/A,10,93,79,0.12,0.12
3,80,15,15.12,15,N/A,9.05,N/A,N/A,12,85,73,0.12,0.16
4,100,18,18.12,18,N/A,12.2,N/A,N/A,14,145,124,0.12,0.16
5,125,22,22.12,22,N/A,0,N/A,N/A,17,N/A,190,0.12,0.16
6,150,24,24.12,24,N/A,14.17,N/A,N/A,20,310,264,0.12,0.16
8,200,29,29.12,29,N/A,16.92,N/A,N/A,26,500,425,0.12,0.16
10,250,33,33.12,33,N/A,18.89,N/A,N/A,31,772,657,0.12,0.16
12,300,38,38.12,38,N/A,22.04,N/A,N/A,36,1080,918,0.12,0.16
14,350,40.5,40.88,40.5,N/A,24.76,N/A,N/A,39,1500,1275,0.38,0.16
16,400,44.5,44.88,44.5,N/A,27.55,N/A,N/A,43,2130,1811,0.38,0.16
18,450,48,48.5,48,N/A,31.49,N/A,N/A,N/A,2600,2210,0.5,0.19
20,500,52,52.5,52,N/A,33.46,N/A,N/A,N/A,3400,2890,0.5,0.19
22,550,N/A,N/A,N/A,N/A,35.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,61,61.75,61,N/A,37.4,N/A,N/A,N/A,4150,4000,0.75,0.22
