14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,Height-HW,Diam-HW,N/A,N/A,N/A,RF/RTJ KG,BW KG,RTJ Addition,RTJ Gap
0+3/4,20,9,9,9,11.8,6,N/A,N/A,N/A,20,17,0,0.16
1,25,10,10,10,11.8,6.9,N/A,N/A,N/A,38,33,0,0.16
1+1/4,32,11,11,11,14.7,7.9,N/A,N/A,N/A,49,42,0,0.16
1+1/2,40,12,12,12,17.7,10,N/A,N/A,N/A,61,52,0,0.16
2,50,14.5,14.62,14.5,23.6,11.8,N/A,N/A,N/A,87,74,0.12,0.12
2+1/2,65,16.5,16.62,16.5,25.9,13.7,N/A,N/A,N/A,130,111,0.12,0.12
3,80,15,15.12,15,26.1,13.7,N/A,N/A,N/A,122,104,0.12,0.16
4,100,18,18.12,18,31.4,19.6,N/A,N/A,N/A,182,155,0.12,0.16
5,125,22,22.12,22,32.4,15.7,N/A,N/A,N/A,380,280,0.12,0.16
6,150,24,24.12,24,39.9,23.6,N/A,N/A,N/A,434,369,0.12,0.16
8,200,29,29.12,29,45,23.6,N/A,N/A,N/A,730,621,0.12,0.16
10,250,33,33.12,33,50.3,22,N/A,N/A,N/A,1231,1047,0.12,0.16
12,300,38,38.12,38,55.5,22,N/A,N/A,N/A,1568,1333,0.12,0.16
14,350,40.5,40.88,40.5,66.9,22,N/A,N/A,N/A,2170,1845,0.38,0.16
