14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,Height-HW,Diam-HW,N/A,N/A,N/A,RF/RTJ KG,BW KG,RTJ Addition,RTJ Gap
0+1/2,15,6,6.44,6,10.2,5.9,N/A,N/A,N/A,6,5,0.44,0.12
0+3/4,20,7,7.5,7,10.4,6.9,N/A,N/A,N/A,7,6,0.5,0.16
1,25,8,8.5,8,10.6,7.9,N/A,N/A,N/A,10,9,0.5,0.16
1+1/4,32,8.5,9,8.5,12.5,7.9,N/A,N/A,N/A,23,20,0.5,0.16
1+1/2,40,9,9.5,9,15.3,7.9,N/A,N/A,N/A,26,22,0.5,0.16
2,50,10.5,11.12,10.5,16.5,7.8,N/A,N/A,N/A,31,27,0.62,0.22
2+1/2,65,11.5,12.12,11.5,17.1,7.8,N/A,N/A,N/A,48,41,0.62,0.22
3,80,12.5,13.12,12.5,17.7,9.8,N/A,N/A,N/A,58,50,0.62,0.22
4,100,14,14.62,14,20.4,9.8,N/A,N/A,N/A,86,73,0.62,0.22
5,125,15.75,16.37,15.75,24.4,15.7,N/A,N/A,N/A,130,111,0.62,0.22
6,150,17.5,18.12,17.5,25.5,15.7,N/A,N/A,N/A,150,128,0.62,0.22
8,200,22,22.62,22,31.4,15.7,N/A,N/A,N/A,397,338,0.62,0.22
10,250,24.5,25.12,24.5,40.9,19.6,N/A,N/A,N/A,527,448,0.62,0.22
12,300,28,28.62,28,44.8,23.6,N/A,N/A,N/A,608,517,0.62,0.22
