14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,Height-HW,Diam-HW,N/A,N/A,N/A,RF/RTJ KG,BW KG,RTJ Addition,RTJ Gap
0+1/4,8,4,N/A,4,3.9,3.1,N/A,N/A,N/A,5,5,N/A,N/A
0+3/8,10,4,N/A,4,4.7,3.5,N/A,N/A,N/A,5,5,N/A,N/A
0+1/2,15,4.25,N/A,4.25,9.8,3.9,N/A,N/A,N/A,5,5,N/A,N/A
0+3/4,20,4.62,N/A,4.62,9.8,3.9,N/A,N/A,N/A,7,6,N/A,N/A
1,25,5,5.5,5,10.5,5,N/A,N/A,N/A,10,9,0.5,0.16
1+1/4,32,5.5,6,5.5,11,6.4,N/A,N/A,N/A,15,13,0.5,0.16
1+1/2,40,6.5,7,6.5,12.9,7.8,N/A,N/A,N/A,18,16,0.5,0.16
2,50,8,8.5,8,16.1,7.8,N/A,N/A,N/A,22,19,0.5,0.16
2+1/2,65,8.5,9,8.5,17,7.8,N/A,N/A,N/A,30,26,0.5,0.16
3,80,9.5,10,9.5,17.7,9.8,N/A,N/A,N/A,42,36,0.5,0.16
4,100,11.5,12,11.5,19.6,9.8,N/A,N/A,N/A,60,51,0.5,0.16
5,125,14,14.5,14,21.1,11.8,N/A,N/A,N/A,77,66,0.5,0.16
6,150,16,16.5,16,21.6,13.7,N/A,N/A,N/A,101,86,0.5,0.16
8,200,19.5,20,19.5,24.4,15.7,N/A,N/A,N/A,161,137,0.5,0.16
10,250,24.5,25,24.5,30,29.5,N/A,N/A,N/A,308,262,0.5,0.16
12,300,27.5,28,27.5,33.8,29.5,N/A,N/A,N/A,410,349,0.5,0.16
14,350,31,31.5,31,56.7,22,N/A,N/A,N/A,610,519,0.5,0.12
16,400,36,36.5,36,63.9,22,N/A,N/A,N/A,880,748,0.5,0.12
