14,2,3,4,5,6,7,8,9,10,11,12,13,14
Wafer Check,Wafer Check NB mm,od,Face to Face,nim mating flg bore,id,no of bolts,bolt len,spa,bolt dia M,bolt dia,Weight Kg,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/2,40,95.25,50.8,N/A,48.4124,4,165.1,N/A,20,0+3/4,2,VIEW LOOKING UPSTREAM,SECTION PLAN
2,50,111.125,60,N/A,60.325,8,174.625,N/A,16,0+5/8,3,VIEW LOOKING UPSTREAM,SECTION PLAN
3,80,149.225,73,53.975,88.9,8,206.375,N/A,20,0+3/4,7,VIEW LOOKING UPSTREAM,SECTION PLAN
4,100,180.975,73,85.725,114.3,8,206.375,N/A,20,0+3/4,9,VIEW LOOKING UPSTREAM,SECTION PLAN
6,150,250.825,98,139.7,168.275,12,244.475,N/A,20,0+3/4,25,VIEW LOOKING UPSTREAM,SECTION PLAN
8,200,307.975,127,187.325,212.725,12,285.75,N/A,24,0+7/8,37,VIEW LOOKING UPSTREAM,SECTION PLAN
10,250,361.95,146,242.8875,273.05,16,323.85,N/A,27,1,65,VIEW LOOKING UPSTREAM,SECTION PLAN
12,300,422.275,181,285.75,323.85,16,371.475,N/A,30,1+1/8,99,VIEW LOOKING UPSTREAM,SECTION PLAN
14,350,485.775,222,304.8,355.6,20,419.1,N/A,30,1+1/8,181,VIEW LOOKING UPSTREAM,SECTION PLAN
16,400,539.75,232,358.775,406.4,20,441.325,N/A,33,1+1/4,210,VIEW LOOKING UPSTREAM,SECTION PLAN
18,450,596.9,264,390.525,457.2,24,479.425,N/A,33,1+1/4,295,VIEW LOOKING UPSTREAM,SECTION PLAN
20,500,654.05,292,428.625,508,24,520.7,N/A,33,1+1/4,368,VIEW LOOKING UPSTREAM,SECTION PLAN
24,600,774.7,318,539.75,609.6,24,577.85,N/A,39,1+1/2,525,VIEW LOOKING UPSTREAM,SECTION PLAN
30,750,952.5,368,685.8,762,28,704.85,N/A,45,1+3/4,953,VIEW LOOKING UPSTREAM,SECTION PLAN
36,900,1117.6,483,831.85,914.4,32,850.9,N/A,52,2,1724,VIEW LOOKING UPSTREAM,SECTION PLAN
42,1050,1289.05,568,981.075,1066.8,36,952.5,N/A,52,2,2632,VIEW LOOKING UPSTREAM,SECTION PLAN
48,1200,1492.25,629,1092.2,1219.2,40,1028.7,N/A,52,2,2976,VIEW LOOKING UPSTREAM,SECTION PLAN
