13,2,3,4,5,6,7,8,9,10,11,12,13
Control Valve NB inches,Control Valve NB mm,RF Face to Face,RTJ Face to Face,Height,Diaphram Diameter,Side HW Standout,Side HW Diameter,N/A,N/A,weight RF/RTJ,weight BW,Note1
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+1/2,15,203.2,201.6125,660.4,279.4,280.19375,170.65625,N/A,N/A,5,3,In Header
0+3/4,20,206.375,206.375,660.4,279.4,280.9875,170.65625,N/A,N/A,10,7,In Header
1,25,209.55,209.55,660.4,279.4,281.78125,170.65625,N/A,N/A,15.4,11,In Header
1+1/4,32,250.825,250.825,762,330.2,285.75,304.8,N/A,N/A,20,15,In Header
1+1/2,40,250.825,250.825,914.4,330.2,285.75,304.8,N/A,N/A,27.2,21,In Header
2,50,285.75,288.925,939.8,330.2,285.75,304.8,N/A,N/A,43,35,In Header
2+1/2,65,311.15,315.9125,965.2,406.4,374.65,356.39375,N/A,N/A,62,51,In Header
3,80,336.55,339.725,1092.2,406.4,374.65,356.39375,N/A,N/A,81,67,In Header
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,In Header
4,100,393.7,396.875,1244.6,473.075,374.65,356.39375,N/A,N/A,152,120,In Header
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,In Header
6,150,508,511.175,1625.6,533.4,N/A,356.39375,N/A,N/A,328,256,In Header
8,200,609.6,612.775,1549.4,635,304.8,431.8,N/A,N/A,566,462,In Header
10,250,850.9,844.55,1625.6,635,304.8,431.8,N/A,N/A,852,698,In Header
