14,2,3,4,5,6,7,8,9,10,11,12,13,14
Wafer Ch,Wafer Check NB mm,od,Face to Face,nim mating flg bore,id,no of bolts,bolt len,spa,bolt dia M,bolt dia,Weight Kg,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/2,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
2,50,5.625,2.75,0,2.375,8,8.75,N/A,24,0+7/8,8,VIEW LOOKING UPSTREAM,SECTION PLAN
3,80,6.875,3.25,2.125,3.5,8,10.5,N/A,30,1+1/8,14,VIEW LOOKING UPSTREAM,SECTION PLAN
4,100,8.25,4,3.375,4.5,8,12,N/A,33,1+1/4,28,VIEW LOOKING UPSTREAM,SECTION PLAN
6,150,11.125,6.25,4.75,6.625,12,16.75,N/A,36,1+3/8,56,VIEW LOOKING UPSTREAM,SECTION PLAN
8,200,13.875,8.12,6.75,8.625,12,20.25,N/A,42,1+5/8,121,VIEW LOOKING UPSTREAM,SECTION PLAN
10,250,17.125,9.75,7.875,10.75,12,23.5,N/A,48,1+7/8,211,VIEW LOOKING UPSTREAM,SECTION PLAN
12,300,20.5,12,9.875,12.75,16,27.5,N/A,52,2,386,VIEW LOOKING UPSTREAM,SECTION PLAN
14,350,22.75,14,8.25,14,16,31.5,N/A,56,2+1/4,501,VIEW LOOKING UPSTREAM,SECTION PLAN
16,400,25.25,15.12,10.125,16,16,34.25,N/A,64,2+1/2,607,VIEW LOOKING UPSTREAM,SECTION PLAN
18,450,27.75,18.44,11.875,18,16,39.75,N/A,70,2+3/4,817,VIEW LOOKING UPSTREAM,SECTION PLAN
20,500,29.75,21,12,20,16,44.25,N/A,76,3,1316,VIEW LOOKING UPSTREAM,SECTION PLAN
24,600,35.5,22,20.25,24,16,48.5,N/A,90,3+1/2,2010,VIEW LOOKING UPSTREAM,SECTION PLAN
