14,2,3,4,5,6,7,8,9,10,11,12,13,14
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,N/A,Height,N/A,N/A,BW F/F Short Pattern,RF/RTJ KG,BW KG,RTJ Addition,RTJ Gap
0+1/2,15,N/A,N/A,N/A,N/A,120,N/A,N/A,N/A,6,5,11,3
0+3/4,20,N/A,N/A,N/A,N/A,130,N/A,N/A,N/A,7,6,13,4
1,25,216,229,216,N/A,140,N/A,N/A,216,10,9,13,4
1+1/4,32,229,242,229,N/A,150,N/A,N/A,229,14,12,13,4
1+1/2,40,241,254,241,N/A,155,N/A,N/A,241,17,15,13,4
2,50,267,283,267,N/A,178,N/A,N/A,267,21,18,16,6
2+1/2,65,292,308,292,N/A,191,N/A,N/A,292,32,28,16,6
3,80,318,334,318,N/A,211,N/A,N/A,318,43,37,16,6
4,100,356,372,356,N/A,246,N/A,N/A,356,61,52,16,6
5,125,400,416,400,N/A,305,N/A,N/A,400,84,72,16,6
6,150,444,460,444,N/A,318,N/A,N/A,444,131,112,16,6
8,200,533,549,533,N/A,356,N/A,N/A,533,213,181,16,6
10,250,622,638,622,N/A,394,N/A,N/A,622,384,327,16,6
12,300,711,727,711,N/A,482,N/A,N/A,711,449,382,16,6
14,350,838,854,838,N/A,533,N/A,N/A,838,680,578,16,6
16,400,864,880,864,N/A,584,N/A,N/A,864,840,714,16,6
18,450,978,994,978,N/A,590,N/A,N/A,978,1025,872,16,6
20,500,1016,1035,1016,N/A,614,N/A,N/A,1016,1320,1122,19,6
22,550,1118,1140,1118,N/A,655,N/A,N/A,1118,1600,1350,22,6
24,600,1346,1368,1346,N/A,720,N/A,N/A,1346,1960,1666,22,6
26,650,1346,1371,1346,N/A,770,N/A,N/A,1346,2350,1998,25,6
28,700,1499,1524,1499,N/A,830,N/A,N/A,1499,2800,2380,25,6
30,750,1594,1619,1594,N/A,860,N/A,N/A,1594,3270,2780,25,6
32,800,N/A,N/A,N/A,N/A,930,N/A,N/A,N/A,3600,3060,28,N/A
34,850,N/A,N/A,N/A,N/A,1000,N/A,N/A,N/A,3900,3315,28,N/A
36,900,2083,2111,2083,N/A,1060,N/A,N/A,2083,4300,3655,28,6
