12,2,3,4,5,6,7,8,9,10,11,12
Control Valve NB inches,Control Valve NB mm,RF Face to Face,RTJ Face to Face,Height,Diaphram Diameter,Side HW Standout,Side HW Diameter,N/A,N/A,weight RF/RTJ,weight BW
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,25,254,266.7,1025.525,333.375,284.1625,304.8,N/A,N/A,23.6,18
1+1/2,40,542.925,552.45,1473.2,473.075,378.61875,357.98125,N/A,N/A,170.5,136
2,50,254,266.7,1025.525,333.375,284.1625,304.8,N/A,N/A,23.6,18
2+1/2,65,542.925,552.45,1473.2,473.075,378.61875,357.98125,N/A,N/A,170.5,136
3,80,298.45,311.15,1066.8,333.375,284.1625,304.8,N/A,N/A,43,34
4,100,352.425,365.125,1244.6,406.4,374.65,356.39375,N/A,N/A,61.2,48
6,150,450.85,463.55,1447.8,406.4,378.61875,357.1875,N/A,N/A,108.8,88
8,200,542.925,552.45,1473.2,473.075,378.61875,357.98125,N/A,N/A,170.5,136
10,250,542.925,552.45,1473.2,473.075,378.61875,357.98125,N/A,N/A,170.5,136
