21,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,Height,Lever Length,Hand Wheel Spindle Height,Hand Wheel Diameter,Hand Wheel Spindle Length,Hand Wheel Spindle Offset,weight RF/RTJ,weight BW,RF-F/F Short Pattern,RTJ-F/F Sort Pattern,BW-F/F Short Pattern,RTJ Addition,RTJ Gap,Long Pattern,Short Pattern,Section - Full Bore Valve
0+1/2,15,N/A,N/A,N/A,0,0,0,0,0,0,30,25,N/A,N/A,N/A,0,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
0+3/4,20,N/A,N/A,N/A,0,0,0,0,0,0,40,27,N/A,N/A,N/A,0,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
1,25,N/A,N/A,N/A,0,0,0,0,0,0,60,29,N/A,N/A,N/A,0,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
1+1/4,32,N/A,N/A,N/A,0,0,0,0,0,0,65,32,N/A,N/A,N/A,0.12,0.12,Long Pattern,Short Pattern,Section - Full Bore Valve
1+1/2,40,N/A,N/A,N/A,0,0,0,0,0,0,70,40,N/A,N/A,N/A,0.12,0.12,Long Pattern,Short Pattern,Section - Full Bore Valve
2,50,17.75,17.87,17.75,8,36,6,25,13,3,71,45,N/A,N/A,N/A,0.12,0.12,Long Pattern,Short Pattern,Section - Full Bore Valve
2+1/2,65,20,20.25,20,8,35,0,0,0,0,71,50,N/A,N/A,N/A,0.25,0.12,Long Pattern,Short Pattern,Section - Full Bore Valve
3,80,22.75,23,22.75,10,36,8,25,13,4,71,59,N/A,N/A,N/A,0.25,0.12,Long Pattern,Short Pattern,Section - Full Bore Valve
4,100,26.5,26.88,26.5,12,36,10,25,13,5,130,112,N/A,N/A,N/A,0.38,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
5,125,N/A,N/A,N/A,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,0.5,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
6,150,36,36.5,36,0,0,14,25,15,8,290,233,N/A,N/A,N/A,0.5,0.16,Long Pattern,Short Pattern,Section - Full Bore Valve
8,200,40.25,40.87,40.25,0,0,17,44,20,9,590,462,N/A,N/A,N/A,0.62,0.19,Long Pattern,Short Pattern,Section - Full Bore Valve
10,250,50,50.88,50,0,0,19,44,20,9,1145,871,N/A,N/A,N/A,0.88,0.25,Long Pattern,Short Pattern,Section - Full Bore Valve
12,300,56,56.88,56,0,0,20,44,20,9,1621,1208,N/A,N/A,N/A,0.88,0.31,Long Pattern,Short Pattern,Section - Full Bore Valve
