14,2,3,4,5,6,7,8,9,10,11,12,13,14
Wafer Ch,Wafer Check NB mm,od,Face to Face,nim mating flg bore,id,no of bolts,bolt len,spa,bolt dia M,bolt dia,Weight Kg,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/2,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
2,50,5.625,2.75,0,2.375,8,8.75,N/A,24,0+7/8,8,VIEW LOOKING UPSTREAM,SECTION PLAN
3,80,6.625,3.25,2.125,3.5,8,9.5,N/A,24,0+7/8,13,VIEW LOOKING UPSTREAM,SECTION PLAN
4,100,8.125,4,3.375,4.5,8,11,N/A,30,1+1/8,21,VIEW LOOKING UPSTREAM,SECTION PLAN
6,150,11.375,6.25,4.75,6.625,12,14,N/A,30,1+1/8,56,VIEW LOOKING UPSTREAM,SECTION PLAN
8,200,14.125,8.12,6.75,8.625,12,17.125,N/A,36,1+3/8,127,VIEW LOOKING UPSTREAM,SECTION PLAN
10,250,17.125,9.5,7.875,10.75,16,19,N/A,36,1+3/8,204,VIEW LOOKING UPSTREAM,SECTION PLAN
12,300,19.625,11.5,9.875,12.75,20,21.75,N/A,36,1+3/8,338,VIEW LOOKING UPSTREAM,SECTION PLAN
14,350,20.5,14,8.25,14,20,25.5,N/A,39,1+1/2,453,VIEW LOOKING UPSTREAM,SECTION PLAN
16,400,22.625,15.12,10.125,16,20,27.125,N/A,42,1+5/8,550,VIEW LOOKING UPSTREAM,SECTION PLAN
18,450,25.125,17.75,11.875,18,20,31.5,N/A,48,1+7/8,681,VIEW LOOKING UPSTREAM,SECTION PLAN
20,500,27.5,17.75,16,20,20,32.5,N/A,52,2,658,VIEW LOOKING UPSTREAM,SECTION PLAN
24,600,33,19.5,20.25,24,20,38,N/A,64,2+1/2,1271,VIEW LOOKING UPSTREAM,SECTION PLAN
