14,2,3,4,5,6,7,8,9,10,11,12,13,14
Wafer Check NB inches,Wafer Check NB mm,od,Face to Face,nim mating flg bore,id,no of bolts,bolt length,111,bolt dia M,bolt dia,Weight Kg,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,112,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,113,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,114,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,115,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1,25,N/A,N/A,N/A,N/A,N/A,N/A,116,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,117,N/A,N/A,N/A,VIEW LOOKING UPSTREAM,SECTION PLAN
1+1/2,40,85.725,50.8,N/A,48.41875,4,127,118,14,0+1/2,2,VIEW LOOKING UPSTREAM,SECTION PLAN
2,50,104.775,60,N/A,60.325,4,152.4,119,16,0+5/8,3,VIEW LOOKING UPSTREAM,SECTION PLAN
3,80,136.525,73,53.975,88.9,4,177.8,120,16,0+5/8,7,VIEW LOOKING UPSTREAM,SECTION PLAN
4,100,174.625,73,85.725,114.3,8,177.8,121,16,0+5/8,8,VIEW LOOKING UPSTREAM,SECTION PLAN
6,150,222.25,98,139.7,168.275,8,209.55,122,20,0+3/4,18,VIEW LOOKING UPSTREAM,SECTION PLAN
8,200,279.4,127,187.325,219.075,8,247.65,123,20,0+3/4,32,VIEW LOOKING UPSTREAM,SECTION PLAN
10,250,339.725,146,242.8875,273.05,12,279.4,124,24,0+7/8,53,VIEW LOOKING UPSTREAM,SECTION PLAN
12,300,409.575,181,285.75,323.85,12,311.15,125,24,0+7/8,98,VIEW LOOKING UPSTREAM,SECTION PLAN
14,350,450.85,184,314.325,355.6,12,330.2,126,27,1,100,VIEW LOOKING UPSTREAM,SECTION PLAN
16,400,514.35,191,355.6,406.4,16,342.9,127,27,1,134,VIEW LOOKING UPSTREAM,SECTION PLAN
18,450,549.275,203,415.925,457.2,16,368.3,128,30,1+1/8,144,VIEW LOOKING UPSTREAM,SECTION PLAN
20,500,606.425,219,466.725,508,20,384.175,129,30,1+1/8,198,VIEW LOOKING UPSTREAM,SECTION PLAN
24,600,717.55,222,568.325,609.6,20,412.75,130,33,1+1/4,307,VIEW LOOKING UPSTREAM,SECTION PLAN
30,750,882.65,305,704.85,762,28,492.125,131,33,1+1/4,472,VIEW LOOKING UPSTREAM,SECTION PLAN
36,900,1047.75,368,866.775,914.4,32,584.2,132,39,1+1/2,683,VIEW LOOKING UPSTREAM,SECTION PLAN
42,1050,1219.2,432,981.075,1066.8,36,660.4,133,39,1+1/2,1271,VIEW LOOKING UPSTREAM,SECTION PLAN
48,1200,1384.3,524,1092.2,1219.2,44,708.025,134,39,1+1/2,1996,VIEW LOOKING UPSTREAM,SECTION PLAN
