54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,mc bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,hole size for calc,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,WN & long neck id,long neck od Same as col 5,weld flat,lapped tk,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,13.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,17.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/2,15,90,9.6,30,21.3,14,16,46,22.2,34.9,2,N/A,N/A,N/A,N/A,10,0+1/2,60.3,4,0+1/2,50,55,N/A,0+5/8,14,0.6,0.8,0.9,15.875,0+1/2,22.9,3.175,3.175,9.6,N/A,N/A,N/A,0.8,0.46,N/A,15.8,30,1.6,11.2,48,46,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/4,20,100,11.2,38,26.7,14,16,51,27.7,42.9,2,N/A,N/A,N/A,N/A,11,0+3/4,69.9,4,0+1/2,50,65,N/A,0+5/8,14,0.9,0.9,0.9,15.875,0+3/4,28.2,3.175,3.175,11.2,N/A,N/A,N/A,0.8,0.5,N/A,20.9,38,1.6,12.7,53,51,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1,25,110,12.7,49,33.4,16,17,54,34.5,50.8,2,63.5,6.35,15,4,13,1,79.4,4,0+1/2,55,65,75,0+5/8,14,1.4,0.9,0.9,15.875,1,34.9,3.175,3.175,12.7,47.63,6.35,8.74,0.8,0.5,0.54,26.6,49,1.6,14.3,56,60.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/4,32,115,14.3,59,42.2,19,21,56,43.2,63.5,2,73,6.35,17,4,14,1+1/4,88.9,4,0+1/2,55,70,85,0+5/8,14,1.4,1.4,1.4,15.875,1+1/4,43.7,3.175,4.7625,14.3,57.15,6.35,8.74,0.8,0.52,0.58,35.1,59,1.6,15.9,58,62.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/2,40,125,15.9,65,48.3,21,22,60,49.5,73,2,82.5,6.35,19,4,16,1+1/2,98.4,4,0+1/2,65,70,85,0+5/8,14,1.8,1.4,1.8,15.875,1+1/2,50,3.175,6.35,15.9,65.07,6.35,8.74,0.8,0.52,0.58,40.9,65,1.6,17.5,62,66.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2,50,150,17.5,78,60.3,24,25,62,61.9,92.1,2,102,6.35,22,4,17,2,120.7,4,0+5/8,70,85,95,0+3/4,16,2.7,2.3,2.3,19.05,2,62.5,3.175,7.9375,17.5,82.55,6.35,8.74,0.8,0.77,0.82,52.5,78,1.6,19.1,64,68.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2+1/2,65,180,20.7,90,73,27,29,68,74.6,104.8,2,121,6.35,25,4,19,2+1/2,139.7,4,0+5/8,75,90,100,0+3/4,16,3.7,3.2,3.2,19.05,2+1/2,75.4,3.175,7.9375,22.225,101.6,6.35,8.74,0.8,0.79,0.84,62.7,90,1.6,22.3,70,74.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3,80,190,22.3,108,88.9,29,30,68,90.7,127,2,133,6.35,29,4,21,3,152.4,4,0+5/8,75,90,100,0+3/4,16,4.6,3.7,4.1,19.05,3,91.4,3.175,9.525,20.7,114.3,6.35,8.74,0.8,0.79,0.84,77.9,108,1.6,23.9,70,74.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3+1/2,90,215,22.3,122,101.6,30,32,70,103.4,139.7,2,154,6.35,33,4,N/A,3+1/2,177.8,8,0+5/8,75,90,100,0+3/4,16,5.5,5,5.9,19.05,3+1/2,104.1,3.175,11.1125,22.3,131.78,6.35,8.74,0.8,1.59,1.69,90.1,122,1.6,23.9,72,76.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
4,100,230,22.3,135,114.3,32,33,75,116.8,157.2,2,171,6.35,36,4,N/A,4,190.5,8,0+5/8,75,90,100,0+3/4,16,6.8,5.9,7.7,19.05,4,116.8,3.175,11.1125,22.3,149.23,6.35,8.74,0.8,1.59,1.69,102.3,135,1.6,23.9,77,81.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
5,125,255,22.3,164,141.3,35,36,87,143.8,185.7,2,194,6.35,40,4,N/A,5,215.9,8,0+3/4,85,95,110,0+7/8,20,8.7,6.8,9.1,22.225,5,144.4,3.175,11.1125,22.3,171.45,6.35,8.74,0.8,2.83,3.08,128.2,164,1.6,23.9,89,93.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
6,150,280,23.9,192,168.3,38,40,87,170.7,215.9,2,219,6.35,43,4,N/A,6,241.3,8,0+3/4,85,100,115,0+7/8,20,10.9,8.6,11.8,22.225,6,171.4,3.175,12.7,22.3,193.68,6.35,8.74,0.8,2.91,3.16,154.1,192,1.6,25.4,89,93.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
8,200,345,27,246,219.1,43,44,100,221.5,269.9,2,273,6.35,48,4,N/A,8,298.5,8,0+3/4,90,110,120,0+7/8,20,17.7,13.7,20.5,22.225,8,222.2,3.175,12.7,23.9,247.65,6.35,8.74,0.8,3.08,3.24,202.7,246,1.6,28.6,102,106.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
