54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,mc bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped tk,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,0.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/2,15,3.5,0.38,1.19,0.84,0.56,0.62,1.81,0.88,1.38,0.06,N/A,N/A,N/A,N/A,0.38,0+1/2,2.38,4,0+1/2,2,2.25,N/A,0+5/8,14,0.6,0.8,0.9,21,0+1/2,0.9,0.125,0.125,0.38,N/A,N/A,N/A,0.03,0.46,N/A,0.5,1.19,0.06,0.44,1.87,1.18,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/4,20,3.88,0.44,1.5,1.05,0.56,0.62,2,1.09,1.69,0.06,N/A,N/A,N/A,N/A,0.44,0+3/4,2.75,4,0+1/2,2,2.5,N/A,0+5/8,14,0.9,0.9,0.9,27,0+3/4,1.11,0.125,0.125,0.44,N/A,N/A,N/A,0.03,0.5,N/A,0.75,1.5,0.06,0.5,2.06,2,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1,25,4.25,0.5,1.94,1.32,0.62,0.69,2.12,1.36,2,0.06,2.5,0.25,15,0.16,0.5,1,3.12,4,0+1/2,2.25,2.5,3,0+5/8,14,1.4,0.9,0.9,33,1,1.38,0.125,0.125,0.5,1.875,0.25,0.344,0.03,0.5,0.54,1,1.94,0.06,0.56,2.18,2.37,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/4,32,4.62,0.56,2.31,1.66,0.75,0.81,2.19,1.7,2.5,0.06,2.88,0.25,17,0.16,0.56,1+1/4,3.5,4,0+1/2,2.25,2.75,3.25,0+5/8,14,1.4,1.4,1.4,42,1+1/4,1.72,0.125,0.1875,0.56,2.25,0.25,0.344,0.03,0.52,0.58,1.25,2.31,0.06,0.62,2.25,2.44,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/2,40,5,0.62,2.56,1.9,0.81,0.88,2.38,1.95,2.88,0.06,3.25,0.25,19,0.16,0.62,1+1/2,3.88,4,0+1/2,2.5,2.75,3.25,0+5/8,14,1.8,1.4,1.8,48,1+1/2,1.97,0.125,0.25,0.62,2.562,0.25,0.344,0.03,0.52,0.58,1.5,2.56,0.06,0.69,2.44,2.63,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2,50,6,0.69,3.06,2.38,0.91,1,2.44,2.44,3.62,0.06,4,0.25,22,0.16,0.69,2,4.75,4,0+5/8,2.75,3.25,3.75,0+3/4,16,2.7,2.3,2.3,60,2,2.46,0.125,0.3125,0.69,3.25,0.25,0.344,0.03,0.77,0.82,2,3.06,0.06,0.75,2.5,2.69,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2+1/2,65,7,0.81,3.56,2.88,1.06,1.12,2.69,2.94,4.12,0.06,4.75,0.25,25,0.16,0.75,2+1/2,5.5,4,0+5/8,3,3.5,4,0+3/4,16,3.7,3.2,3.2,73,2+1/2,2.97,0.125,0.3125,0.81,4,0.25,0.344,0.03,0.79,0.84,2.5,3.56,0.06,0.88,2.75,2.94,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3,80,7.5,0.88,4.25,3.5,1.12,1.19,2.69,3.57,5,0.06,5.25,0.25,29,0.16,0.81,3,6,4,0+5/8,3,3.5,4,0+3/4,16,4.6,3.7,4.1,89,3,3.6,0.125,0.375,0.88,4.5,0.25,0.344,0.03,0.79,0.84,3,4.25,0.06,0.94,2.75,2.94,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3+1/2,90,8.5,0.88,4.81,4,1.19,1.25,2.75,4.07,5.5,0.06,6.06,0.25,33,0.16,,3+1/2,7,8,0+5/8,3,3.5,4,0+3/4,16,5.5,5,5.9,102,3+1/2,4.1,0.125,0.4375,0.88,5.188,0.25,0.344,0.03,1.59,1.69,3.5,4.81,0.06,0.94,2.81,3,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
4,100,9,0.88,5.31,4.5,1.25,1.31,2.94,4.57,6.19,0.06,6.75,0.25,36,0.16,,4,7.5,8,0+5/8,3,3.5,4,0+3/4,16,6.8,5.9,7.7,114,4,4.6,0.125,0.4375,0.88,5.875,0.25,0.344,0.03,1.59,1.69,4,5.31,0.06,0.94,3,3.19,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
5,125,10,0.88,6.44,5.56,1.38,1.44,3.44,5.66,7.31,0.06,7.62,0.25,40,0.16,,5,8.5,8,0+3/4,3.25,3.75,4.25,0+7/8,20,8.7,6.8,9.1,141,5,5.69,0.125,0.4375,0.88,6.75,0.25,0.344,0.03,2.83,3.08,5,6.44,0.06,0.94,3.5,3.69,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
6,150,11,0.94,7.56,6.63,1.5,1.56,3.44,6.72,8.5,0.06,8.62,0.25,43,0.16,,6,9.5,8,0+3/4,3.25,4,4.5,0+7/8,20,10.9,8.6,11.8,168,6,6.75,0.125,0.5,0.94,7.625,0.25,0.344,0.03,2.91,3.16,6,7.56,0.06,1,3.5,3.69,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
8,200,13.5,1.06,9.69,8.63,1.69,1.75,3.94,8.72,10.62,0.06,10.75,0.25,48,0.16,,8,11.75,8,0+3/4,3.5,4.25,4.75,0+7/8,20,17.7,13.7,20.5,219,8,8.75,0.125,0.5,1.06,9.75,0.25,0.344,0.03,3.08,3.24,8,9.69,0.06,1.12,4,4.19,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
10,250,16,1.12,12,10.75,1.88,1.94,3.94,10.88,12.75,0.06,13,0.25,52,0.16,,10,14.25,12,0+7/8,4,4.5,5,1,24,24,19.5,32,273,10,10.92,0.125,0.5,1.12,12,0.25,0.344,0.03,7.4,7.76,10,12,0.06,1.19,4,4.19,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
12,300,19,1.19,14.38,12.75,2.12,2.19,4.44,12.88,15,0.06,16,0.25,56,0.16,,12,17,12,0+7/8,4,4.75,5.25,1,24,37,29,50,324,12,12.92,0.125,0.5,1.19,15,0.25,0.344,0.03,7.58,8.11,12,14.38,0.06,1.25,4.5,4.69,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
14,350,21,1.31,15.75,14,2.19,3.12,4.94,14.14,16.25,0.06,16.75,0.25,59,0.12,,14,18.75,12,1,4.5,5.25,5.75,1+1/8,27,50,41,64,356,14,14.18,0.125,0.5,1.31,15.625,0.25,0.344,0.03,11.04,11.49,14,15.75,0.06,1.38,5,5.19,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
16,400,23.5,1.38,18,16,2.44,3.44,4.94,16.16,18.5,0.06,19,0.25,64,0.12,,16,21.25,16,1,4.5,5.25,5.75,1+1/8,27,64,54,82,406,16,16.19,0.125,0.5,1.38,17.875,0.25,0.344,0.03,14.72,15.32,16,18,0.06,1.44,5,5.19,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
18,450,25,1.5,19.88,18,2.62,3.81,5.44,18.18,21,0.06,21.5,0.25,68,0.12,,18,22.75,16,1+1/8,5,5.75,6.25,1+1/4,30,68,59,100,457,18,18.2,0.125,0.5,1.5,20.375,0.25,0.344,0.03,19.9,21.02,18,19.88,0.06,1.56,5.5,5.69,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
20,500,27.5,1.62,22,20,2.81,4.06,5.62,20.2,23,0.06,23.5,0.25,72,0.12,,20,25,20,1+1/8,5.5,6.25,6.75,1+1/4,30,82,75,130,508,20,20.25,0.125,0.5,1.62,22,0.25,0.344,0.03,26.28,27.21,20,22,0.06,1.69,5.68,5.87,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
