54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,mc bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped tk,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,0.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+1/2,15,5.25,1.19,1.69,0.84,1.56,1.56,2.88,0,1.38,0.25,2.56,0.25,13,0.16,N/A,0+1/2,3.5,4,0+3/4,,4.75,4.75,0+7/8,20,3.3,3.2,3.2,,0+1/2,0.9,0,0,1.19,1.688,0.25,0.344,0.03,1.62,1.62,N/A,1.69,0.06,1.19,3.13,3.13,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+3/4,20,5.5,1.25,2,1.05,1.69,1.69,3.12,0,1.69,0.25,2.88,0.25,16,0.16,N/A,0+3/4,3.75,4,0+3/4,,5,5,0+7/8,20,3.7,3.7,3.7,,0+3/4,1.11,0,0,1.25,2,0.25,0.344,0.03,1.66,1.66,N/A,2,0.06,1.25,3.37,3.37,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
1,25,6.25,1.38,2.25,1.32,1.88,1.88,3.5,0,2,0.25,3.25,0.25,18,0.16,N/A,1,4.25,4,0+7/8,,5.5,5.5,1,24,5.5,5,5,,1,1.38,0,0,1.38,2.375,0.25,0.344,0.03,2.76,2.76,N/A,2.25,0.06,1.38,3.75,3.75,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
1+1/4,32,7.25,1.5,2.88,1.66,2.06,2.06,3.75,0,2.5,0.25,4,0.312,21,0.12,N/A,1+1/4,5.12,4,1,,6,6,1+1/8,27,7.8,7.5,7.8,,1+1/4,1.72,0,0,1.5,2.844,0.25,0.469,0.03,3.91,3.91,N/A,2.88,0.06,1.5,4,4.062,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
1+1/2,40,8,1.75,3.12,1.9,2.38,2.38,4.38,0,2.88,0.25,4.5,0.312,23,0.12,N/A,1+1/2,5.75,4,1+1/8,,6.75,6.75,1+1/4,30,11.5,10,10.5,,1+1/2,1.97,0,0,1.75,3.25,0.312,0.469,0.03,5.44,5.44,N/A,3.12,0.06,1.75,4.63,4.692,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
2,50,9.25,2,3.75,2.38,2.75,2.75,5,0,3.62,0.25,5.25,0.312,26,0.12,N/A,2,6.75,8,1,,7,7,1+1/8,27,19,17.5,18,,2,2.46,0,0,2,4,0.312,0.469,0.03,8.74,8.74,N/A,3.75,0.06,2,5.25,5.312,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
2+1/2,65,10.5,2.25,4.5,2.88,3.12,3.12,5.62,0,4.12,0.25,5.88,0.375,28,0.12,N/A,2+1/2,7.75,8,1+1/8,,7.75,8,1+1/4,30,24,23,25.5,,2+1/2,2.97,0,0,2.25,4.375,0.375,0.531,0.06,11.81,12.19,N/A,4.5,0.06,2.25,5.87,5.995,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
3,80,12,2.62,5.25,3.5,,3.62,6.62,0,5,0.25,6.62,0.375,32,0.12,N/A,3,9,8,1+1/4,,8.75,9,1+3/8,33,42.8,37.8,39,,3,3.6,0,0,2.62,5,0.375,0.531,0.06,15.86,16.32,N/A,5.25,0.06,2.62,6.87,6.995,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
3+1/2,90,N/A,N/A,N/A,N/A,,N/A,N/A,0,5.5,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.1,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
4,100,14,3,6.5,4.5,,4.25,7.5,0,6.19,0.25,8,0.438,38,0.16,,4,10.75,8,1+1/2,,10,10.25,1+5/8,39,66,57,61.5,,4,4.6,0,0,3,6.188,0.438,0.656,0.06,27.03,27.37,N/A,6.5,0.06,3,7.75,7.938,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
5,130,16.5,3.62,8,5.56,,5.12,9,0,7.31,0.25,9.5,0.5,42,0.16,,5,12.75,8,1+3/4,,11.75,12.25,1+7/8,42,111,95,102,,5,5.69,0,0,3.62,7.5,0.5,0.781,0.06,36.38,37.17,N/A,8,0.06,3.62,9.25,9.5,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
6,150,19,4.25,9.25,6.63,,6,10.75,0,8.5,0.25,11,0.5,47,0.16,,6,14.5,8,2,,13.5,14,2+1/8,52,173,148,157,,6,6.75,0,0,4.25,9,0.5,0.781,0.06,66.02,67.25,N/A,9.25,0.06,4.25,11,11.25,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
8,200,21.75,5,12,8.63,,7,12.5,0,10.62,0.25,13.38,0.562,51,0.19,,8,17.25,12,2,,15,15.5,2+1/8,52,264,221,241,,8,8.75,0,0,5,11,0.562,0.906,0.06,105.5,108.27,N/A,12,0.06,5,12.75,13.062,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
10,250,26.5,6.5,14.75,10.75,,9,16.5,0,12.75,0.25,16.75,0.688,55,0.25,,10,21.25,12,2+1/2,,19.25,20,2+5/8,64,490,425,470,,10,10.92,0,0,6.5,13.5,0.688,1.188,0.09,194.74,200.28,N/A,14.75,0.06,6.5,16.75,17.188,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
12,300,30,7.25,17.38,12.75,,10,18.25,0,15,0.25,19.5,0.688,60,0.31,,12,24.38,12,2+3/4,,21.25,22,2+7/8,72,695,500,575,,12,12.92,0,0,7.25,16,0.688,1.312,0.09,269.63,276.71,N/A,17.38,0.06,7.25,18.5,18.938,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
14,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,16.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
16,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,18.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
18,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
20,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
