54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj rf height,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped thk,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,0.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0+1/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0+3/8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/2,15,3.75,0.56,1.5,0.84,0.88,0.88,2.06,0.88,1.38,0.25,2,0.219,11,0.12,N/A,0+1/2,2.62,4,0+1/2,,3,3,0+5/8,14,1.5,1.3,1.5,,0+1/2,0.9,22.225,3.175,0.56,1.344,0.219,0.281,,0.54,0.54,N/A,1.5,0.06,0.56,2.31,2.279,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/4,20,4.62,0.62,1.88,1.05,1,1,2.25,1.09,1.69,0.25,2.5,0.25,13,0.16,N/A,0+3/4,3.25,4,0+5/8,,3.5,3.5,0+3/4,16,1.8,1.5,1.5,,0+3/4,1.11,27.78125,3.175,0.62,1.688,0.25,0.344,,0.79,0.79,N/A,1.88,0.06,0.62,2.5,2.5,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1,25,4.88,0.69,2.12,1.32,1.06,1.06,2.44,1.36,2,0.25,2.75,0.25,16,0.16,N/A,1,3.5,4,0+5/8,,3.5,3.5,0+3/4,16,1.8,1.8,1.8,,1,1.38,34.13125,3.175,0.69,2,0.25,0.344,,0.79,0.79,N/A,2.12,0.06,0.69,2.69,2.69,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/4,32,5.25,0.81,2.5,1.66,1.12,1.12,2.62,1.7,2.5,0.25,3.12,0.25,18,0.16,N/A,1+1/4,3.88,4,0+5/8,,3.75,3.75,0+3/4,16,2.7,2.3,2.3,,1+1/4,1.72,42.8625,4.7625,0.81,2.375,0.25,0.344,,0.82,0.82,N/A,2.5,0.06,0.81,2.87,2.87,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/2,40,6.12,0.88,2.75,1.9,1.25,1.25,2.75,1.95,2.88,0.25,3.56,0.25,20,0.16,N/A,1+1/2,4.5,4,0+3/4,,4.25,4.25,0+7/8,20,3.7,3.2,3.7,,1+1/2,1.97,49.2125,6.35,0.88,2.688,0.25,0.344,,1.54,1.54,N/A,2.75,0.06,0.88,3,3,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2,50,6.5,1,3.31,2.38,1.44,1.44,2.88,2.44,3.62,0.25,4.25,0.312,23,0.19,N/A,2,5,8,0+5/8,,4.25,4.25,0+3/4,16,5.5,4.1,4.6,,2,2.46,61.9125,7.9375,1,3.35,0.312,0.469,,1.8,1.8,N/A,3.31,0.06,1,3.13,3.192,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
