54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,mc bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped tk,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,0.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+1/2,15,4.75,0.88,1.5,0.84,1.25,1.25,2.38,0.88,1.38,0.25,2.38,0.25,12,0.16,0.38,0+1/2,3.25,4,0+3/4,,4.25,4.25,0+7/8,20,2.3,1.8,1.8,,0+1/2,0.9,0,0,0.88,1.562,0.25,0.344,0.03,1.54,1.54,N/A,1.5,0.06,0.88,2.63,2.63,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
0+3/4,20,5.12,1,1.75,1.05,1.38,1.38,2.75,1.09,1.69,0.25,2.62,0.25,14,0.16,0.44,0+3/4,3.5,4,0+3/4,,4.5,4.5,0+7/8,20,2.7,2.3,2.7,,0+3/4,1.11,0,0,1,1.75,0.25,0.344,0.03,1.58,1.58,N/A,1.75,0.06,1,3,3,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
1,25,5.88,1.12,2.06,1.32,1.62,1.62,2.88,1.36,2,0.25,2.81,0.25,16,0.16,0.5,1,4,4,0+7/8,,5,5,1,24,4.1,3.7,3.7,,1,1.38,0,0,1.12,2,0.25,0.344,0.03,2.58,2.58,N/A,2.06,0.06,1.12,3.13,3.13,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
1+1/4,32,6.25,1.12,2.5,1.66,1.62,1.62,2.88,1.7,2.5,0.25,3.19,0.25,18,0.16,0.56,1+1/4,4.38,4,0+7/8,,5,5,1,24,4.6,4.1,4.1,,1+1/4,1.72,0,0,1.12,2.375,0.25,0.344,0.03,2.58,2.58,N/A,2.5,0.06,1.12,3.13,3.13,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
1+1/2,40,7,1.25,2.75,1.9,1.75,1.75,3.35,1.95,2.88,0.25,3.62,0.25,20,0.16,0.62,1+1/2,4.88,4,1,,5.5,5.5,1+1/8,27,5.9,5.5,5.9,,1+1/2,1.97,0,0,1.25,2.688,0.25,0.344,0.03,3.75,3.75,N/A,2.75,0.06,1.25,3.6,3.6,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
2,50,8.5,1.5,4.12,2.38,2.25,2.25,4,2.44,3.62,0.25,4.88,0.312,24,0.12,0.69,2,6.5,8,0+7/8,,5.75,5.75,1,24,11.4,9.8,10.1,,2,2.46,0,0,1.5,3.75,0.312,0.469,0.03,5.64,5.64,N/A,4.12,0.06,1.5,4.25,4.312,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
2+1/2,65,9.62,1.62,4.88,2.88,2.5,2.5,4.12,2.94,4.12,0.25,5.38,0.312,27,0.12,0.75,2+1/2,7.5,8,1,,6.25,6.25,1+1/8,27,16.4,16.4,15.9,,2+1/2,2.97,0,0,1.62,4.25,0.312,0.469,0.03,8.12,8.12,N/A,4.88,0.06,1.62,4.37,4.432,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
3,80,10.5,1.88,5.25,3.5,,2.88,4.62,N/A,5,0.25,6.62,0.312,35,0.12,,3,8,8,1+1/8,,7,7,1+1/4,30,21.8,21.8,21.8,,3,3.6,0,0,1.88,5.375,0.312,0.469,0.03,11.25,11.25,N/A,5.25,0.06,1.88,4.87,4.932,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
3+1/2,90,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,5.5,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.1,N/A,N/A,N/A,N/A,N/A,0.469,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
4,100,12.25,2.12,6.38,4.5,,3.56,4.88,N/A,6.19,0.25,7.62,0.312,39,0.12,,4,9.5,8,1+1/4,,7.75,7.75,1+3/8,33,33,33,33,,4,4.6,0,0,2.12,6.375,0.312,0.469,0.03,14.72,14.72,N/A,6.38,0.06,2.12,5.13,5.192,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
5,130,14.75,2.88,7.75,5.56,,4.12,6.12,N/A,7.31,0.25,9,0.312,44,0.12,,5,11.5,8,1+1/2,,9.75,9.75,1+5/8,39,59,59,64,,5,5.69,0,0,2.88,7.625,0.312,0.469,0.03,26.71,26.71,N/A,7.75,0.06,2.88,6.37,6.432,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
6,150,15.5,3.25,9,6.63,,4.69,6.75,N/A,8.5,0.25,9.75,0.375,46,0.12,,6,12.5,12,1+3/8,,10.25,10.5,1+1/2,36,75,75,75,,6,6.75,0,0,3.25,8.312,0.375,0.531,0.06,33.62,34.04,N/A,9,0.06,3.25,7,7.125,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
8,200,19,3.62,11.5,8.63,,5.62,8.38,N/A,10.62,0.25,12.5,0.438,50,0.16,,8,15.5,12,1+5/8,,11.5,12.75,1+3/4,42,125,118,136,,8,8.75,0,0,3.62,10.625,0.438,0.656,0.06,53.38,57.53,N/A,11.5,0.06,3.62,8.63,8.818,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
10,250,23,4.25,14.5,10.75,,7,10,N/A,12.75,0.25,14.62,0.438,54,0.16,,10,19,12,1+7/8,,13.25,13.5,2,48,207,198,232,,10,10.92,0,0,4.25,12.75,0.438,0.656,0.06,81.26,82.81,N/A,14.5,0.06,4.25,10.25,10.438,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
12,300,26.5,4.88,17.75,12.75,,8.62,11.12,N/A,15,0.25,17.25,0.562,58,0.19,,12,22.5,16,2,,14.75,15.25,2+1/8,52,314,264,314,,12,12.92,0,0,4.88,15,0.562,0.906,0.06,139.43,141.9,N/A,17.75,0.06,4.88,11.37,11.682,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
14,350,29.5,5.25,19.5,14,,9.5,11.75,N/A,16.25,0.25,19.25,0.625,63,0.22,,14,25,16,2+1/4,,16,16.75,2+3/8,56,427,341,443,,14,14.18,0,0,5.25,16.5,0.625,1.062,0.09,169.9,175.5,N/A,19.5,0.06,5.25,12,12.375,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
16,400,32.5,5.75,21.75,16,,10.25,12.25,N/A,18.5,0.25,21.5,0.688,67,0.31,,16,27.75,16,2+1/2,,17.5,18.5,2+5/8,64,568,454,591,,16,16.19,0,0,5.75,18.5,0.688,1.188,0.09,243,252.25,N/A,21.75,0.06,5.75,12.5,12.938,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
18,450,36,6.38,23.5,18,,10.88,12.88,N/A,21,0.25,24.12,0.688,71,0.31,,18,30.5,16,2+3/4,,19.5,20.75,2+7/8,70,738,590,795,,18,18.2,0,0,6.38,21,0.688,1.188,0.09,338.28,352.31,N/A,23.5,0.06,6.38,13.13,13.568,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
20,500,38.75,7,25.25,20,,11.5,14,N/A,23,0.25,26.5,0.688,75,0.38,,20,32.75,16,3,,21.25,22.25,3+1/8,76,932,792,1022,,20,20.25,0,0,7,23,0.688,1.312,0.09,408.8,422.24,N/A,25.25,0.06,7,14.25,14.688,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
