6,150,395,82.6,229,168.3,N/A,119,171,N/A,215.9,7,248,9.53,46,3,,6,317.5,12,1+3/8,,260,265,1+1/2,36,75,75,75,38.1,6,171.4,0,0,82.6,211.14,9.53,13.49,1.5,33.62,34.04,N/A,229,1.6,82.6,178,180.53,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
8,200,485,92.1,292,219.1,N/A,143,213,N/A,269.9,7,318,11.13,50,4,,8,393.7,12,1+5/8,,290,325,1+3/4,42,125,118,136,44.45,8,222.2,0,0,92.1,269.88,11.13,16.66,1.5,53.38,57.53,N/A,292,1.6,92.1,220,224.13,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
10,250,585,108,368,273,N/A,178,254,N/A,323.8,7,371,11.13,54,4,,10,482.6,12,1+7/8,,335,345,2,48,207,198,232,50.8,10,277.4,0,0,108,323.85,11.13,16.66,1.5,81.26,82.81,N/A,368,1.6,108,261,265.13,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
12,300,675,123.9,451,323.8,N/A,219,283,N/A,381,7,438,14.27,58,5,,12,571.5,16,2,,375,385,2+1/8,52,314,264,314,53.975,12,328.2,0,0,123.9,381,14.27,23.01,1.5,139.43,141.9,N/A,451,1.6,123.9,290,297.27,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
14,350,750,133.4,495,355.6,N/A,241,298,N/A,412.8,7,489,15.88,63,6,,14,635,16,2+1/4,,405,425,2+3/8,56,427,341,443,60.325,14,360.2,0,0,133.4,419.1,15.88,26.97,2.4,169.9,175.5,N/A,495,1.6,133.4,305,313.88,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
16,400,825,146.1,552,406.4,N/A,260,311,N/A,469.9,7,546,17.48,67,8,,16,704.8,16,2+1/2,,445,470,2+5/8,64,568,454,591,66.675,16,411.2,0,0,146.1,469.9,17.48,30.18,2.4,243,252.25,N/A,552,1.6,146.1,318,328.48,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
18,450,915,162,597,457,N/A,276,327,N/A,533.4,7,613,17.48,71,8,,18,774.7,16,2+3/4,,495,525,2+7/8,72,738,590,795,73.025,18,462.3,0,0,162,533.4,17.48,30.18,2.4,338.28,352.31,N/A,597,1.6,162,334,344.48,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
20,500,985,177.8,641,508,N/A,292,356,N/A,584.2,7,673,17.48,75,10,,20,831.8,16,3,,540,565,3+1/8,76,932,792,1022,79.375,20,514.4,0,0,177.8,584.2,17.48,33.32,2.4,408.8,422.24,N/A,641,1.6,177.8,363,373.48,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
24,600,1170,203.2,762,610,N/A,330,406,N/A,692.2,7,794,20.62,79,11,,24,990.6,16,3+1/2,,615,650,3+5/8,90,1511,1248,1648,92.075,24,616,0,0,203.2,692.15,20.62,36.53,2.4,646.55,672.32,N/A,762,1.6,203.2,413,426.62,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
