2+1/2,65,265,57.2,114,73,79,79,143,0,104.8,7,149,9.53,28,3,N/A,2+1/2,196.8,8,1+1/8,,195,205,1+1/4,30,24,23,25.5,31.75,2+1/2,75.4,0,0,57.2,111.13,9.52,13.49,1.5,11.81,12.19,N/A,114,1.6,57.2,150,152.53,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3,80,305,66.7,133,88.9,N/A,92,168,0,127,7,168,9.53,32,3,N/A,3,228.6,8,1+1/4,,220,230,1+3/8,33,42.8,37.8,39,34.925,3,91.4,0,0,66.7,127,9.52,13.49,1.5,15.86,16.32,N/A,133,1.6,66.7,175,177.53,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,139.7,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,104.1,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
4,100,355,76.2,165,114.3,N/A,108,190,0,157.2,7,203,11.13,38,4,,4,273,8,1+1/2,,255,260,1+5/8,39,66,57,61.5,41.275,4,116.8,0,0,76.2,157.18,11.13,16.66,1.5,27.03,27.37,N/A,165,1.6,76.2,197,201.13,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
5,125,420,92.1,203,141.3,N/A,130,229,0,185.7,7,241,12.7,42,4,,5,323.8,8,1+3/4,,300,310,1+7/8,45,111,95,102,47.625,5,144.4,0,0,92.1,190.5,12.7,19.84,1.5,36.38,37.17,N/A,203,1.6,92.1,236,241.7,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
6,150,485,108,235,168.3,N/A,152,273,0,215.9,7,279,12.7,47,4,,6,368.3,8,2,,345,355,2+1/8,52,173,148,157,53.975,6,171.4,0,0,108,228.6,12.7,19.84,1.5,66.02,67.25,N/A,235,1.6,108,280,285.7,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
8,200,550,127,305,219.1,N/A,178,318,0,269.9,7,340,14.27,51,5,,8,438.2,12,2,,380,395,2+1/8,52,264,221,241,53.975,8,222.2,0,0,127,279.4,14.27,23.01,1.5,105.5,108.27,N/A,305,1.6,127,325,332.27,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
10,250,675,165.1,375,273,N/A,229,419,0,323.8,7,425,17.48,55,6,,10,539.8,12,2+1/2,,490,510,2+5/8,64,490,425,470,66.675,10,277.4,0,0,165.1,342.9,17.48,30.18,2.4,194.74,200.28,N/A,375,1.6,165.1,426,436.48,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
12,300,760,184.2,441,323.8,N/A,254,464,0,381,7,495,17.48,60,8,,12,619.1,12,2+3/4,,540,560,2+7/8,72,695,500,575,73.025,12,328.2,0,0,184.2,406.4,17.48,33.32,2.4,269.63,276.71,N/A,441,1.6,184.2,471,481.48,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,360.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,411.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,462.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,514.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,616,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
