54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,mc bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped tk,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/2,15,3.75,0.5,1.5,0.84,0.81,0.88,2,0.88,1.38,0.06,2,0.219,R11,0.12,0.38,0+1/2,2.62,4,0+1/2,2.25,2.5,3,0+5/8,14,1.4,1.2,1.4,21,0+1/2,0.9,,,0.5,1.344,0.219,0.281,0.03,0.5,0.54,0.5,1.5,0.06,0.56,2.06,2.219,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/4,20,4.62,0.56,1.88,1.05,0.94,1,2.19,1.09,1.69,0.06,2.5,0.25,13,0.16,0.44,0+3/4,3.25,4,0+5/8,2.5,3,3.5,0+3/4,16,1.4,1.4,1.4,27,0+3/4,1.11,,,0.56,1.688,0.25,0.344,0.03,0.71,0.79,0.75,1.88,0.06,0.62,2.25,2.44,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1,25,4.88,0.62,2.12,1.32,1,1.06,2.38,1.36,2,0.06,2.75,0.25,16,0.16,0.5,1,3.5,4,0+5/8,2.5,3,3.5,0+3/4,16,1.8,1.4,1.4,33,1,1.38,,,0.62,2,0.25,0.344,0.03,0.71,0.79,1,2.12,0.06,0.69,2.44,2.63,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/4,32,5.25,0.69,2.5,1.66,1,1.06,2.5,1.7,2.5,0.06,3.12,0.25,18,0.16,0.56,1+1/4,3.88,4,0+5/8,2.75,3.25,3.75,0+3/4,16,2.3,1.8,1.8,42,1+1/4,1.72,,,0.69,2.375,0.25,0.344,0.03,0.77,0.82,1.25,2.5,0.06,0.75,2.56,2.75,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/2,40,6.12,0.75,2.75,1.9,1.13,1.19,2.63,1.95,2.88,0.06,3.56,0.25,20,0.16,0.62,1+1/2,4.5,4,0+3/4,3,3.5,4,0+7/8,20,3.2,2.7,2.7,48,1+1/2,1.97,,,0.75,2.688,0.25,0.344,0.03,1.37,1.45,1.5,2.75,0.06,0.81,2.69,2.88,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2,50,6.5,0.81,3.31,2.38,1.25,1.31,2.69,2.44,3.62,0.06,4.25,0.312,23,0.22,0.69,2,5,8,0+5/8,3,3.5,4,0+3/4,16,4.1,3.2,3.7,60,2,2.46,,,0.81,3.25,0.312,0.469,0.03,1.59,1.69,2,3.31,0.06,0.88,2.75,3.002,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2+1/2,65,7.5,0.94,3.94,2.88,1.44,1.5,2.94,2.94,4.12,0.06,5,0.312,26,0.22,0.75,2+1/2,5.88,8,0+3/4,2.25,4,4.5,0+7/8,20,5.5,4.6,5.5,73,2+1/2,2.97,,,0.94,4,0.312,0.469,0.03,2.91,3.16,2.5,3.94,0.06,1,3,3.252,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3,80,8.25,1.06,4.62,3.5,1.63,1.69,3.06,3.57,5,0.06,5.75,0.312,31,0.22,0.81,3,6.62,8,0+3/4,3.5,4.25,4.75,0+7/8,20,6.8,5.9,7.3,89,3,3.6,,,1.06,4.875,0.312,0.469,0.03,3.08,3.24,3,4.62,0.06,1.12,3.12,3.372,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3+1/2,90,9,1.12,5.25,4,1.69,1.75,3.13,4.07,5.5,0.06,6.25,0.312,34,0.22,,31/2,7.25,8,0+3/4,3.75,4.25,5,0+7/8,20,8.2,7.7,9.6,102,3+1/2,4.1,,,1.12,5.188,0.312,0.469,0.03,3.08,3.32,3.5,5.25,0.06,1.19,3.19,3.442,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
4,100,10,1.19,5.75,4.5,1.82,1.88,3.32,4.57,6.19,0.06,6.88,0.312,37,0.22,,4,7.88,8,0+3/4,3.75,4.5,5,0+7/8,20,11.4,10,12.3,114,4,4.6,,,1.19,5.875,0.312,0.469,0.03,3.16,3.32,4,5.75,0.06,1.25,3.38,3.632,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
5,125,11,1.31,7,5.56,1.94,2,3.82,5.66,7.31,0.06,8.25,0.312,41,0.22,,5,9.25,8,0+3/4,4.25,4.75,5.25,0+7/8,20,14.6,12.7,15.9,141,5,5.69,,,1.31,7.125,0.312,0.469,0.03,3.24,3.48,5,7,0.06,1.38,3.88,4.132,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
6,150,12.5,1.38,8.12,6.63,2,2.06,3.82,6.72,8.5,0.06,9.5,0.312,45,0.22,,6,10.62,12,0+3/4,4.25,4.75,5.5,0+7/8,20,19.1,17.7,22.7,168,6,6.75,,,1.38,8.312,0.312,0.469,0.03,4.86,5.36,6,8.12,0.06,1.44,3.88,4.132,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
8,200,15,1.56,10.25,8.63,2.38,2.44,4.32,8.72,10.62,0.06,11.88,0.312,49,0.22,,8,13,12,0+7/8,4.75,5.5,6,1,24,31,26,36,219,8,8.75,,,1.56,10.625,0.312,0.469,0.03,8.29,8.65,8,10.25,0.06,1.62,4.38,4.632,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
10,250,17.5,1.81,12.62,10.75,2.56,3.75,4.56,10.88,12.75,0.06,14,0.312,53,0.22,,10,15.25,16,1,5.5,6.25,6.75,1+1/8,27,42,36,57,273,10,10.92,,,1.81,12.75,0.312,0.469,0.03,16.25,16.87,10,12.62,0.06,1.88,4.62,4.872,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
12,300,20.5,1.94,14.75,12.75,2.82,4,5.06,12.88,15,0.06,16.25,0.312,57,0.22,,12,17.75,16,1+1/8,5.75,6.75,7.25,1+1/4,30,64,52,84,324,12,12.92,,,1.94,15,0.312,0.469,0.03,21.77,22.87,12,14.75,0.06,2,5.12,5.372,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
14,350,23,2.06,16.75,14,2.94,4.38,5.56,14.14,16.25,0.06,18,0.312,61,0.22,,14,20.25,20,1+1/8,6.25,7,7.5,1+1/4,30,82,75,113,356,14,14.18,,,2.06,16.5,0.312,0.469,0.03,28.14,29.07,14,16.75,0.06,2.12,5.62,5.872,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
16,400,25.5,2.19,19,16,3.19,4.75,5.69,16.16,18.5,0.06,20,0.312,65,0.22,,16,22.5,20,1+1/4,6.5,7.5,8,1+3/8,33,113,86,134,406,16,16.19,,,2.19,18.5,0.312,0.469,0.03,36.21,37.94,16,19,0.06,2.25,5.75,6.002,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
18,450,28,2.31,21,18,3.44,5.12,6.19,18.18,21,0.06,22.62,0.312,69,0.22,,18,24.75,24,1+1/4,6.75,7.75,8.25,1+3/8,33,145,113,181,457,18,18.2,,,2.31,21,0.312,0.469,0.03,44.16,46.22,18,21,0.06,2.38,6.25,6.502,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
20,500,30.5,2.44,23.12,20,3.69,5.5,6.32,20.2,23,0.06,25,0.375,73,0.22,,20,27,24,1+1/4,7.25,8,8.75,1+3/8,33,182,143,230,508,20,20.25,,,2.44,23,0.375,0.531,0.06,45.52,47.59,20,23.12,0.06,2.5,6.38,6.695,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
