4,100,11.5,1.75,6.25,4.5,2.75,2.75,4.5,4.57,6.19,0.25,7.12,0.312,37,0.16,N/A,4,9.25,8,1+1/8,,6.75,6.75,1+1/4,30,23,24,24.5,114,4,4.6,0,0,1.75,5.875,0.312,0.469,0.03,10.88,10.88,4,6.25,0.06,1.75,4.75,4.812,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
5,130,13.75,2,7.5,5.56,3.12,3.12,5,5.66,7.31,0.25,8.5,0.312,41,0.16,N/A,5,11,8,1+1/4,,7.5,7.5,1+3/8,33,39.5,38,39.5,141,5,5.69,0,0,2,7.125,0.312,0.469,0.03,14.48,14.48,5,7.5,0.06,2,5.25,5.312,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
6,150,15,2.19,9.25,6.63,3.38,3.38,5.5,6.72,8.5,0.25,9.5,0.312,45,0.16,N/A,6,12.5,12,1+1/8,,7.5,7.75,1+1/4,30,50,50,53,168,6,6.75,0,0,2.19,8.312,0.312,0.469,0.03,17.44,17.72,6,9.25,0.06,2.19,5.75,5.812,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
8,200,18.5,2.5,11.75,8.63,4,4.5,6.38,8.72,10.62,0.25,12.12,0.312,49,0.16,N/A,8,15.5,12,1+3/8,,8.75,8.75,1+1/2,30,80,78,91,219,8,8.75,0,0,2.5,10.625,0.312,0.469,0.03,30.22,30.22,8,11.75,0.06,2.5,6.63,6.692,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
10,250,21.5,2.75,14.5,10.75,4.25,5,7.25,10.88,12.75,0.25,14.25,0.312,53,0.16,N/A,10,18.5,16,1+3/8,,9.25,9.25,1+1/2,36,118,112,132,273,10,10.92,0,0,2.75,12.75,0.312,0.469,0.03,42,42,10,14.5,0.06,2.75,7.5,7.562,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
12,300,24,3.12,16.5,12.75,4.62,5.62,7.88,12.88,15,0.25,16.5,0.312,57,0.16,N/A,12,21,20,1+3/8,,10,10,1+1/2,36,148,148,189,324,12,12.92,0,0,3.12,15,0.312,0.469,0.03,55.32,55.32,12,16.5,0.06,3.12,8.13,8.192,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
14,350,25.25,3.38,17.75,14,5.12,6.12,8.38,14.14,16.25,0.25,18.38,0.438,62,0.16,N/A,14,22,20,1+1/2,,10.75,11,1+5/8,36,182,182,237,356,14,14.18,0,0,3.38,16.5,0.438,0.656,0.06,58.15,58.86,14,17.75,0.06,3.38,8.63,8.818,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
16,400,27.75,3.5,20,16,5.25,6.5,8.5,16.16,18.5,0.25,20.62,0.438,66,0.16,N/A,16,24.25,20,1+5/8,,11.25,11.5,1+3/4,39,225,193,273,406,16,16.19,0,0,3.5,18.5,0.438,0.656,0.06,72.61,73.46,16,20,0.06,3.5,8.75,8.938,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
18,450,31,4,22.25,18,6,7.5,9,18.18,21,0.25,23.38,0.5,70,0.19,N/A,18,27,20,1+7/8,,12.75,13.25,2,48,300,258,367,457,18,18.2,0,0,4,21,0.5,0.781,0.06,132.84,135.44,18,22.25,0.06,4,9.25,9.5,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
20,500,33.75,4.25,24.5,20,6.25,8.25,9.75,20.2,23,0.25,25.5,0.5,74,0.19,N/A,20,29.5,20,2,,13.75,14.25,2+1/8,52,373,317,463,508,20,20.25,0,0,4.25,23,0.5,0.781,0.06,166.6,169.67,20,24.5,0.06,4.25,10,10.25,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
24,600,41,5.5,29.5,24,8,10.5,11.5,24.25,27.25,0.25,30.38,0.625,78,0.22,N/A,24,35.5,20,2+1/2,,17.25,18,2+5/8,68,680,608,875,610,24,24.25,0,0,5.5,27.25,0.625,1.062,0.09,345.48,353.38,24,29.5,0.06,5.5,11.75,12.125,holes,dia,37.5*,23*,Stub-End see ,As Required,Buttwelded Fittings
