54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,mc bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped tk,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,0.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/2,15,3.75,0.56,1.5,0.84,0.88,0.88,2.06,0.88,1.38,0.25,2,0.219,R11,0.12,0.38,0+1/2,2.62,4,0+1/2,,3,3,0+5/8,14,1.5,1.3,1.4,,0+1/2,0.9,N/A,N/A,0.56,1.344,0.219,0.281,0.03,0.54,0.54,0.5,1.5,0.06,0.56,2.31,2.279,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/4,20,4.62,0.62,1.88,1.05,1,1,2.25,1.09,1.69,0.25,2.5,0.25,13,0.16,0.44,0+3/4,3.25,4,0+5/8,,3.5,3.5,0+3/4,16,1.8,1.4,1.4,,0+3/4,1.11,N/A,N/A,0.62,1.688,0.25,0.344,0.03,0.79,0.79,0.75,1.88,0.06,0.62,2.5,2.5,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1,25,4.88,0.69,2.12,1.32,1.06,1.06,2.44,1.36,2,0.25,2.75,0.25,16,0.16,0.5,1,3.5,4,0+5/8,,3.5,3.5,0+3/4,16,1.8,1.8,1.8,,1,1.38,N/A,N/A,0.69,2,0.25,0.344,0.03,0.79,0.79,1,2.12,0.06,0.69,2.69,2.69,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/4,32,5.25,0.81,2.5,1.66,1.12,1.12,2.62,1.7,2.5,0.25,3.12,0.25,18,0.16,0.56,1+1/4,3.88,4,0+5/8,,3.75,3.75,0+3/4,16,2.7,2.3,2.3,,1+1/4,1.72,N/A,N/A,0.81,2.375,0.25,0.344,0.03,0.82,0.82,1.25,2.5,0.06,0.81,2.87,2.87,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/2,40,6.12,0.88,2.75,1.9,1.25,1.25,2.75,1.95,2.88,0.25,3.56,0.25,20,0.16,0.62,1+1/2,4.5,4,0+3/4,,4.25,4.25,0+7/8,20,3.7,3.2,3.7,,1+1/2,1.97,N/A,N/A,0.88,2.688,0.25,0.344,0.03,1.54,1.54,1.5,2.75,0.06,0.88,3,3,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2,50,6.5,1,3.31,2.38,1.44,1.44,2.88,2.44,3.62,0.25,4.25,0.312,23,0.19,0.69,2,5,8,0+5/8,,4.25,4.25,0+3/4,16,5.5,4.1,4.6,,2,2.46,N/A,N/A,1,3.25,0.312,0.469,0.03,1.8,1.8,2,3.31,0.06,1,3.13,3.192,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2+1/2,65,7.5,1.12,3.94,2.88,1.62,1.62,3.12,2.94,4.12,0.25,5,0.312,26,0.19,0.75,2+1/2,5.88,8,0+3/4,,4.75,4.75,0+7/8,20,8.2,5.9,6.8,,2+1/2,2.97,N/A,N/A,1.12,4,0.312,0.469,0.03,3.24,3.24,2.5,3.94,0.06,1.12,3.37,3.432,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3,80,8.25,1.25,4.62,3.5,1.81,1.81,3.25,3.57,5,0.25,5.75,0.312,31,0.19,0.81,3,6.62,8,0+3/4,,5,5,0+7/8,20,10.5,7.3,9.1,,3,3.6,N/A,N/A,1.25,4.875,0.312,0.469,0.03,3.32,3.32,3,4.62,0.06,1.25,3.5,3.562,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3+1/2,90,9,1.38,5.25,4,1.94,1.94,3.38,4.07,5.5,N/A,6.25,0.312,34,0.19,,3+1/2,7.25,8,0+7/8,,5.5,5.5,1,24,11.8,9.6,13.2,,3+1/2,4.1,N/A,N/A,1.38,5.188,0.312,0.469,0.03,5.52,5.52,3.5,5.25,0.06,1.38,3.38,3.692,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
4,100,10.75,1.5,6,4.5,2.12,2.12,4,4.57,6.19,0.25,6.88,0.312,37,0.19,,4,8.5,8,0+7/8,,5.75,5.75,1,24,19.1,16.8,18.7,,4,4.6,N/A,N/A,1.5,5.875,0.312,0.469,0.03,5.64,5.64,4,6,0.06,1.5,4.25,4.312,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
5,130,13,1.75,7.44,5.56,2.38,2.38,4.5,5.66,7.31,0.25,8.25,0.312,41,0.19,,5,10.5,8,1,,6.5,6.5,1+1/8,27,31,29,31,,5,5.69,N/A,N/A,1.75,7.125,0.312,0.469,0.03,8.27,8.27,5,7.44,0.06,1.75,4.75,4.812,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
6,150,14,1.88,8.75,6.63,2.62,2.62,4.62,6.72,8.5,0.25,9.5,0.312,45,0.19,,6,11.5,12,1,,6.75,6.75,1+1/8,27,36,36,39,,6,6.75,N/A,N/A,1.88,8.312,0.312,0.469,0.03,12.65,12.65,6,8.75,0.06,1.88,4.87,4.932,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
8,200,16.5,2.19,10.75,8.63,3,3,5.25,8.72,10.62,0.25,11.88,0.312,49,0.19,,8,13.75,12,1+1/8,,7.5,7.75,1+1/4,30,55,52,64,,8,8.75,N/A,N/A,2.19,10.625,0.312,0.469,0.03,17.44,17.72,8,10.75,0.06,2.19,5.5,5.562,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
10,250,20,2.5,13.5,10.75,3.38,4.38,6,10.88,12.75,0.25,14,0.312,53,0.19,,10,17,16,1+1/4,,8.5,8.5,1+3/8,33,86,77,105,,10,10.92,N/A,N/A,2.5,12.75,0.312,0.469,0.03,31.28,31.28,10,13.5,0.06,2.5,6.25,6.312,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
12,300,22,2.62,15.75,12.75,3.62,4.62,6.12,12.88,15,0.25,16.25,0.312,57,0.19,,12,19.25,20,1+1/4,,8.75,8.75,1+3/8,33,102,91,134,,12,12.92,N/A,N/A,2.62,15,0.312,0.469,0.03,39.66,39.66,12,15.75,0.06,2.62,6.37,6.432,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
14,350,23.75,2.75,17,14,3.69,5,6.5,14.14,16.25,0.25,18,0.312,61,0.19,,14,20.75,20,1+3/8,,9.25,9.25,1+1/2,36,127,105,161,,14,14.18,N/A,N/A,2.75,16.5,0.312,0.469,0.03,52.5,52.5,14,17,0.06,2.75,6.75,6.812,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
16,400,27,3,19.5,16,4.19,5.5,7,16.16,18.5,0.25,20,0.312,65,0.19,,16,23.75,20,1+1/2,,10,10,1+5/8,39,177,150,225,,16,16.19,N/A,N/A,3,18.5,0.312,0.469,0.03,67.59,67.59,16,19.5,0.06,3,7.25,7.312,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
18,450,29.25,3.25,21.5,18,4.62,6,7.25,18.18,21,0.25,22.62,0.312,69,0.19,,18,25.75,20,1+5/8,,10.75,10.75,1+3/4,42,216,182,286,,18,18.2,N/A,N/A,3.25,21,0.312,0.469,0.03,86.03,86.03,18,21.5,0.06,3.25,7.5,7.562,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
20,500,32,3.5,24,20,5,6.5,7.5,20.2,23,0.25,25,0.375,73,0.19,,20,28.5,24,1+5/8,,11.25,11.5,1+3/4,42,268,232,368,,20,20.25,N/A,N/A,3.5,23,0.375,0.531,0.06,105.6,106.77,20,24,0.06,3.5,7.75,7.875,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
