13,2,3,4,5,6,7,8,9,10,11,12,13
NB inch,NB mm,F to F,Base to CL,Base to drain,Base to cl,Base to Cover,Bask Removal,Basket Area,vent,drain,kg,Basket Removal
0+3/4,20,224,333,25,180,213,200,241,0+1/4,0+3/4,7.5,Basket Removal
1,25,232,345,28,190,225,200,241,0+1/4,0+3/4,14.5,Basket Removal
1+1/2,40,245,420,35,254,297,275,375,0+1/4,0+3/4,21.5,Basket Removal
2,50,321,490,38,314,362,340,488,0+1/4,0+3/4,29.5,Basket Removal
3,80,375,570,40,342,411,375,652,0+3/8,0+3/4,49,Basket Removal
4,100,455,715,47,426,508,450,1088,0+3/8,1,92,Basket Removal
6,150,620,1010,95,619,749,630,2151,0+1/2,1+1/2,225,Basket Removal
8,200,740,1320,109.5,787,952,800,3973,0+1/2,1+1/2,405,Basket Removal
10,250,890,1495,120,908,1103,940,5304,0+1/2,1+1/2,655,Basket Removal
12,300,1050,1570,175,1152,1367,1180,8295,0+1/2,2,700,Basket Removal
