8,2,3,4,5,6,7,8
NB inch,NB mm,F to F,Base to CL,CRS,OA width,Screne Area CM20,Wt Kg
2,50,941,429,202,354,N/A,32
3,80,1116,459,202,394,N/A,60
4,100,1334,547,259,489,N/A,100
6,150,1735,734,374,754,N/A,184
8,200,2095,962,485,970,N/A,360
10,250,2441,1077,599,1104,N/A,680
12,300,2861,1162,713,1313,N/A,770
