9,2,3,4,5,6,7,8,9
nb,nb,Hub OD,OD,Length,SW Dia,Bore,SW Depth,Kg
0+1/4,8,30.16,65.08,76.2,14.28,10.31,9.52,1.5
0+3/8,10,30.16,65.08,76.2,17.46,13.49,9.52,1.5
0+1/2,15,30.16,65.08,76.2,21.43,13.49,9.52,1.5
0+3/4,20,39.68,74.61,85.72,26.98,17.46,12.7,2.3
1,25,46.03,95.25,101.6,34.13,23.81,12.7,3.5
1+1/4,32,54.76,100.01,111.12,42.86,29.36,12.7,3.8
1+1/2,40,61.91,115.09,120.65,48.41,35.71,12.7,6.1
2,50,77.78,139.7,131.76,61.11,46.03,15.87,7.8
