5,2,3,4,5
NB,NB,Length,Height,Weight
0+1/4,8,96.74,53.85,1.92
0+3/8,10,96.74,53.85,1.92
0+1/2,15,104.05,61.15,2.24
0+3/4,20,127.78,79.4,4
1,25,153.35,97.66,6.08
1+1/4,32,189.86,120.48,10.08
1+1/2,40,204.47,150.6,14.56
2,50,262.89,172.51,23.2
