11,2,3,4,5,6,7,8,9,10,11
nb,nb,Hub OD,OD,Length,SW Dia,Bore,SW Depth,LVR LEN,LVR HT,Kg
0+1/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,30.16,65.08,75,17.46,11,9.52,160,73,1.5
0+1/2,15,30.16,65.08,80,21.43,14,9.52,160,76,1.5
0+3/4,20,39.68,74.61,100,26.98,20,12.7,195,108,2.3
1,25,46.03,95.25,110,34.13,25.4,12.7,195,111,3.5
1+1/4,32,54.76,100.01,120,42.86,32,12.7,260,125,3.8
1+1/2,40,61.91,115.09,140,48.41,38,12.7,260,130,6.1
2,50,61.91,115.09,160,48.41,38,12.7,260,130,9
