5,2,3,4,5
NB,NB,Length,Height,Weight
0+1/4,8,3.31,1.84,1.2
0+3/8,10,3.31,1.84,1.2
0+1/2,15,3.56,2.09,1.4
0+3/4,20,4.37,2.71,2.5
1,25,5.25,3.34,3.8
1+1/4,32,6.5,4.12,6.3
1+1/2,40,7,5.15,9.1
2,50,9,5.9,14.5
