9,2,3,4,5,6,7,8,9
nb,nb,Hub OD,OD,Length,SW Dia,Bore,SW Depth,Kg
0+1/4,8,1.36,2.94,3.45,0.64,0.46,0.43,2.4
0+3/8,10,1.36,2.94,3.45,0.79,0.61,0.43,2.4
0+1/2,15,1.36,2.94,3.45,0.97,0.61,0.43,2.4
0+3/4,20,1.79,3.37,3.88,1.22,0.79,0.57,3.68
1,25,2.08,4.31,4.6,1.54,1.07,0.57,5.6
1+1/4,32,2.47,4.52,5.03,1.94,1.32,0.57,6.08
1+1/2,40,2.8,5.21,5.46,2.19,1.61,0.57,9.76
2,50,3.52,6.32,5.96,2.76,2.08,0.71,12.48
