11,2,3,4,5,6,7,8,9,10,11
nb,nb,Hub OD,OD,Length,SW Dia,Bore,SW Depth,LVR LEN,LVR HT,Kg
0+1/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,1.18,2.56,2.95,0.68,0.43,0.37,6.29,2.87,1.5
0+1/2,15,1.18,2.56,3.14,0.84,0.55,0.37,6.29,2.99,1.5
0+3/4,20,1.56,2.93,3.93,1.06,0.78,0.5,7.67,4.25,2.3
1,25,1.81,3.75,4.33,1.34,1,0.5,7.67,4.37,3.5
1+1/4,32,2.15,3.93,4.72,1.68,1.25,0.5,10.23,4.92,3.8
1+1/2,40,2.43,4.53,5.51,1.9,1.49,0.5,10.23,5.11,6.1
2,50,2.43,4.53,6.5,1.9,1.49,0.5,10.23,5.11,9
