9,2,3,4,5,6,7,8,9
nb,nb,Hub OD,OD,Length,SW Dia,Bore,SW Depth,Kg
0+1/4,8,34.68,74.84,87.63,16.42,11.85,10.94,2.4
0+3/8,10,34.68,74.84,87.63,20.07,15.51,10.94,2.4
0+1/2,15,34.68,74.84,87.63,24.64,15.51,10.94,2.4
0+3/4,20,45.63,85.8,98.57,31.02,20.07,14.6,3.68
1,25,52.93,109.53,116.84,39.24,27.38,14.6,5.6
1+1/4,32,62.97,115.01,127.78,49.28,33.76,14.6,6.08
1+1/2,40,71.19,132.35,138.74,55.67,41.06,14.6,9.76
2,50,89.44,160.65,151.52,70.27,52.93,18.25,12.48
