9,2,3,4,5,6,7,8,9
nb,nb,Hub OD,OD,Length,SW Dia,Bore,SW Depth,Kg
0+1/4,8,1.18,2.56,3,0.56,0.4,0.37,1.5
0+3/8,10,1.18,2.56,3,0.68,0.53,0.37,1.5
0+1/2,15,1.18,2.56,3,0.84,0.53,0.37,1.5
0+3/4,20,1.56,2.93,3.37,1.06,0.68,0.5,2.3
1,25,1.81,3.75,4,1.34,0.93,0.5,3.5
1+1/4,32,2.15,3.93,4.37,1.68,1.15,0.5,3.8
1+1/2,40,2.43,4.53,4.75,1.9,1.4,0.5,6.1
2,50,3.06,5.5,5.18,2.4,1.81,0.62,7.8
