9,2,3,4,5,6,7,8,9
nb,nb,f to f,HW dia,Height,sw dia,port dia,sw depth,kg
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,96.74,84.88,172.51,24.64,9.11,10.94,3.2
0+3/4,20,104.05,84.88,186.2,31.02,14.6,14.6,3.2
1,25,127.78,93.1,226.37,39.24,20.07,14.6,5.6
1+1/4,32,153.35,109.53,261.06,49.28,25.55,14.6,8.48
1+1/2,40,189.86,109.53,286.61,55.67,32.85,14.6,15.2
2,50,204.47,174.8,323.12,70.27,40.15,18.25,18.24
