11,2,3,4,5,6,7,8,9,10,11
nb,nb,Hub OD,OD,Length,SW Dia,Bore,SW Depth,LVR LEN,LVR HT,Kg
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,34.68,74.84,100,20.07,11.1,10.94,195,100,2.4
0+1/2,15,34.68,74.84,100,24.64,11.1,10.94,195,100,2.4
0+3/4,20,45.63,85.8,125,31.02,15.5,14.6,195,107,3.68
1,25,52.93,109.53,140,39.24,21,14.6,260,121,5.6
1+1/4,32,62.97,115.01,170,49.28,34,14.6,360,154,6.08
1+1/2,40,71.19,132.35,170,55.67,34,14.6,360,154,9.76
2,50,89.44,160.65,200,70.27,43,18.25,360,162,12.48
