26,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
nb,nb,M,lowerlimit,Upperlimit,Kg,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21.6,4,5,0.07,N/A,7.14,7.94,0,0,0,0,0,0,0,0,15.88,15.88,0,0,0,0,0,N/A,N/A
0+3/4,20,26.9,5,6,0.1,N/A,0,11.11,11.11,0,0,0,0,0,0,0,0,15.88,15.88,0,0,0,0,N/A,N/A
1,25,33.6,6,7,0.2,N/A,0,0,14.29,14.29,0,0,0,0,0,0,0,0,23.81,23.81,0,0,0,N/A,N/A
1+1/4,32,42.4,8,8,0.3,N/A,0,0,0,19.05,19.05,0,0,0,0,0,0,0,0,22.23,22.23,0,0,N/A,N/A
1+1/2,40,48.5,8,9,0.4,N/A,0,0,0,0,24.61,24.61,0,0,0,0,0,0,0,0,33.34,33.34,0,N/A,N/A
2,50,60.9,10,10,0.7,N/A,0,0,0,0,0,0,38.1,0,0,0,0,0,0,0,0,0,26.99,N/A,N/A
