32,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
nb,nb,M,Kg,N/A,,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21.6,0.07,5,5,N/A,N/A,11.11,0,0,0,0,0,0,0,23.81,0,0,0,0,0,0,0,19.84,0,0,0,0,0,0,0
0+3/4,20,26.9,0.1,6,6,N/A,N/A,0,14.29,0,0,0,0,0,0,0,26.99,0,0,0,0,0,0,0,22.23,0,0,0,0,0,0
1,25,33.6,0.2,7,7,N/A,N/A,0,0,19.05,0,0,0,0,0,0,0,28.58,0,0,0,0,0,0,0,23.02,0,0,0,0,0
1+1/4,32,42.4,0.3,8,8,N/A,N/A,0,0,0,25.4,0,2,0,0,0,0,0,31.75,0,0,0,0,0,0,0,25.4,0,0,0,0
1+1/2,40,48.5,0.4,9,9,N/A,N/A,0,0,0,0,32.54,3,0,0,0,0,0,0,33.34,0,0,0,0,0,0,0,26.99,0,0,0
2,50,60.9,0.7,10,10,N/A,N/A,0,0,0,0,0,38.1,0,0,0,0,0,0,0,37.31,0,0,0,0,0,0,0,27.78,0,0
2+1/2,65,73.6,0.84,11,11,N/A,N/A,0,0,0,0,0,9,49.21,0,0,0,0,0,0,0,41.28,0,0,0,0,0,0,0,30.16,0
3,80,89.6,1.7,12,12,N/A,N/A,0,0,0,0,0,7,0,58.74,0,0,0,0,0,0,0,46.04,0,0,0,0,0,0,0,33.34
