40,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
nb,nb,M,Kg,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/4,1+1/2,2,2+1/2,Lower Limit,Higher Limit,For Data,For Data,For Data,Spare
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7
0+1/4,8,N/A,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7
0+3/8,10,N/A,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,7,7,7
0+1/2,15,21.43,0.07,5.56,5.56,5.56,0,0,0,0,0,0,0,15.88,15.88,15.88,0,0,0,0,0,0,0,7.14,7.14,7.14,0,0,0,0,0,0,0,3,5,7,7,7,7
0+3/4,20,26.99,0.1,5.56,7.14,7.14,7.14,0,0,0,0,0,0,15.88,15.88,15.88,15.88,0,0,0,0,0,0,7.14,7.14,7.14,7.14,0,0,0,0,0,0,3,6,7,7,7,7
1,25,33.34,0.2,0,7.14,11.11,11.11,11.11,0,0,0,0,0,0,23.81,23.02,23.02,23.02,0,0,0,0,0,0,7.14,7.14,7.14,7.14,0,0,0,0,0,4,5,7,7,7,7
1+1/4,32,42.07,0.3,0,0,0,14.29,14.29,14.29,0,0,0,0,0,0,0,24.61,24.61,24.61,0,0,0,0,0,0,0,7.14,7.14,7.14,0,0,0,0,6,8,7,7,7,7
1+1/2,40,48.42,0.4,0,0,0,14.29,19.05,19.05,19.05,0,0,0,0,0,0,33.34,33.34,33.34,33.34,0,0,0,0,0,0,7.14,7.94,7.94,7.94,0,0,0,6,9,7,7,7,7
2,50,61.12,0.7,0,0,0,14.29,19.05,24.61,32.54,32.54,0,0,0,0,0,29.37,25.4,25.4,25.4,25.4,0,0,0,0,0,7.14,7.94,7.94,7.94,7.94,0,0,6,10,7,7,7,7
2+1/2,65,73.82,0.84,0,0,0,0,0,24.61,32.54,38.1,38.1,0,0,0,0,0,0,29.37,29.37,27.78,27.78,0,0,0,0,0,0,7.94,7.94,7.94,7.94,0,8,11,7,7,7,7
3,80,89.69,1.7,0,0,0,0,0,24.61,32.54,38.1,49.21,49.21,0,0,0,0,0,38.89,42.86,42.07,41.28,41.28,0,0,0,0,0,7.94,7.94,7.94,10.32,10.32,8,12,7,7,7,7
