12,2,3,4,5,6,7,8,9,10,11,12
NB inche,NB mm,Height A,OD,Hole,D,E,Kg,N/A,N/A,N/A,N/A
0+1/4,8,38.1,57.15,34.93,28.58,40.48,0.34,N/A,N/A,N/A,N/A
0+3/8,10,38.1,57.15,34.93,28.58,40.48,0.34,N/A,N/A,N/A,N/A
0+1/2,15,46.04,69.85,43.66,35.72,47.63,0.39,N/A,N/A,N/A,N/A
0+3/4,20,53.98,82.55,53.98,44.45,55.56,0.57,N/A,N/A,N/A,N/A
1,25,65.09,96.84,67.47,54.77,60.33,1,N/A,N/A,N/A,N/A
1+1/4,32,69.85,107.95,76.2,63.5,66.68,1.32,N/A,N/A,N/A,N/A
1+1/2,40,85.73,136.53,104.78,82.55,80.96,2.79,N/A,N/A,N/A,N/A
