12,2,3,4,5,6,7,8,9,10,11,12
NB inche,NB mm,Height A,OD,Hole,D,E,F,G,H,I,Kg
0+1/4,8,17.46,25.4,15.88,9.25,14.1,22.23,9.53,3.97,7.14,0.05
0+3/8,10,20.64,31.75,19.05,12.52,17.53,25.4,9.53,3.97,11.11,0.09
0+1/2,15,25.4,34.93,23.81,15.8,21.72,31.75,11.11,5.16,14.29,0.14
0+3/4,20,26.99,44.5,30.16,20.93,27.05,36.51,12.7,4.76,14.29,0.15
1,25,33.33,58.99,36.51,26.64,33.78,46.04,13.5,6.35,19.84,0.27
1+1/4,32,33.33,65.09,44.45,35.05,42.55,55.6,15.08,6.35,19.05,0.39
1+1/2,40,34.93,73.02,50.8,40.89,48.64,61.91,15.88,5.95,19.05,0.47
2,50,38.1,88.9,65.09,52.5,61.11,74.61,17.46,6.75,20.64,0.73
2+1/2,65,46.04,103.19,76.2,62.71,73.81,87.31,23.81,6.75,22.23,1.25
3,80,50.8,122.24,93.7,77.93,89.79,104.8,28.58,7.54,22.23,1.72
3+1/2,90,53.98,133.4,101.6,90.12,102.62,122.24,28.58,7.54,25.4,1.95
4,100,57.15,152.4,120.65,102.26,115.44,130.18,29.37,7.54,27.78,3.29
5,130,66.68,185.7,155.58,128.19,142.7,160.31,32.54,8.73,34.13,5.44
6,150,68.26,219.08,184.15,154.05,169.9,187.3,32.54,8.73,35.72,6.58
8,200,69.85,263.53,220.66,202.72,220.75,241.3,42.86,10.32,26.99,11.79
10,250,77.8,322.3,274.64,254.51,274.73,298.5,54.77,11.91,23.02,15.88
