5,2,3,4,5
ins,mm,Lth sch 10 - 80,Lth sch 160 - XXS,wt
0+1/8,3,N/A,N/A,N/A
0+1/4,6,N/A,N/A,N/A
0+1/2,15,100,105,1.5
0+3/4,20,110,115,2.5
1,25,120,125,3
1+1/4,32,N/A,N/A,N/A
1+1/2,40,135,145,6.5
2,50,150,160,9
