6,2,3,4,5,6
ins,mm,Lth sch 10 - 40,Lth sch XS - 80,Lth sch 160 - XXS,wt
0+1/8,3,N/A,N/A,N/A,N/A
0+1/4,6,N/A,N/A,N/A,N/A
0+1/2,15,100,100,110,3.5
0+3/4,20,110,110,120,4
1,25,125,125,135,6
1+1/4,32,N/A,N/A,N/A,N/A
1+1/2,40,150,150,170,12
2,50,170,170,190,20
