13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,13.7,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/8,10,17.1,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+1/2,15,21.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/4,20,26.7,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1,25,33.4,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1+1/4,32,42.2,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1+1/2,40,48.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
2,50,60.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
2+1/2,65,73,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
3,80,88.9,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
3+1/2,90,101.6,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
4,100,114.3,11.13,57.15,92.04,28.32,34.97,485.31,,,,4
5,125,141.3,12.7,70.65,115.9,40.28,50.82,1070.48,,,,5
6,150,168.3,14.27,84.15,139.76,54.21,69.54,2064.38,,,,6
8,200,219.1,18.26,109.55,182.58,90.44,116.6,5854.18,,,,8
10,250,273,21.44,136.5,230.12,133.01,174.57,13493.74,,,,10
12,300,323.8,25.4,161.9,273,186.92,245.42,26681.18,,,,12
14,350,355.6,27.79,177.8,300.02,224.66,295.31,38699.45,,,,14
16,400,406.4,30.96,203.2,344.48,286.66,379.81,64744.89,,,,16
18,450,457,34.93,228.5,387.14,363.58,481.23,103790.12,,,,18
20,500,508,38.1,254,431.8,441.52,587.88,156180.47,,,,20
22,550,559,41.28,279.5,476.44,527.05,705.24,226264.53,,,,22
24,600,610,46.02,305,517.96,640.07,850.67,326181.61,,,,24
