13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,0.54,0.073,0.27,0.394,0.36,0.41,0,,,,0+1/4
0+3/8,10,0.675,0.073,0.3375,0.529,0.47,0.56,0,,,,0+3/8
0+1/2,15,0.84,0.095,0.42,0.65,0.76,0.9,0.01,,,,0+1/2
0+3/4,20,1.05,0.095,0.525,0.86,0.97,1.22,0.03,,,,0+3/4
1,25,1.315,0.114,0.6575,1.087,1.46,1.86,0.07,,,,1
1+1/4,32,1.66,0.117,0.83,1.426,1.93,2.62,0.16,,,,1+1/4
1+1/2,40,1.9,0.125,0.95,1.65,2.37,3.29,0.27,,,,1+1/2
2,50,2.375,0.125,1.1875,2.125,3.01,4.54,0.56,,,,2
2+1/2,65,2.875,0.188,1.4375,2.499,5.4,7.52,1.43,,,,2+1/2
3,80,3.5,0.188,1.75,3.124,6.66,9.97,2.68,,,,3
3+1/2,90,4,0.188,2,3.624,7.66,12.12,4.09,,,,3+1/2
4,100,4.5,0.188,2.25,4.124,8.67,14.45,5.92,,,,4
5,125,5.563,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
6,150,6.625,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
8,200,8.625,0.277,4.3125,8.071,24.72,46.87,63.32,,,,8
10,250,10.75,0.307,5.375,10.136,34.27,69.21,137.35,,,,10
12,300,12.75,0.33,6.375,12.09,43.81,93.53,248.32,,,,12
14,350,14,0.375,7,13.25,54.62,114.34,372.57,,,,14
16,400,16,0.375,8,15.25,62.64,141.74,561.79,,,,16
18,450,18,0.438,9,17.124,82.23,181.97,931.76,,,,18
20,500,20,0.5,10,19,104.23,227.03,1456.12,,,,20
22,550,22,0.5,11,21,114.92,264.93,1951.46,,,,22
24,600,24,0.562,12,22.876,140.81,318.82,2841.75,,,,24
26,650,26,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
28,700,28,0.625,14,26.75,182.9,426.31,5035.1,,,,28
30,750,30,0.625,15,28.75,196.26,477.42,6220.85,,,,30
32,800,32,0.625,16,30.75,209.62,531.26,7579.54,,,,32
34,850,34,0.625,17,32.75,222.99,587.83,9122.96,,,,34
36,900,36,0.625,18,34.75,236.35,647.12,10862.86,,,,36
