13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,0.54,0,0.27,0.54,0,0.09,0,,,,0+1/4
0+3/8,10,0.675,0,0.3375,0.675,0,0.15,0,,,,0+3/8
0+1/2,15,0.84,0.065,0.42,0.71,0.54,0.71,0.01,,,,0+1/2
0+3/4,20,1.05,0.065,0.525,0.92,0.68,0.96,0.02,,,,0+3/4
1,25,1.315,0.065,0.6575,1.185,0.87,1.34,0.04,,,,1
1+1/4,32,1.66,0.065,0.83,1.53,1.11,1.9,0.1,,,,1+1/4
1+1/2,40,1.9,0.065,0.95,1.77,1.28,2.34,0.15,,,,1+1/2
2,50,2.375,0.065,1.1875,2.245,1.61,3.32,0.31,,,,2
2+1/2,65,2.875,0.083,1.4375,2.709,2.48,4.97,0.7,,,,2+1/2
3,80,3.5,0.083,1.75,3.334,3.03,6.81,1.3,,,,3
3+1/2,90,4,0.083,2,3.834,3.48,8.48,1.95,,,,3+1/2
4,100,4.5,0.083,2.25,4.334,3.92,10.3,2.8,,,,4
5,125,5.563,0.109,2.7815,5.345,6.36,16.07,6.94,,,,5
6,150,6.625,0.109,3.3125,6.407,7.59,21.55,11.83,,,,6
8,200,8.625,0.109,4.3125,8.407,9.92,33.96,26.42,,,,8
10,250,10.75,0.134,5.375,10.482,15.21,52.58,62.93,,,,10
12,300,12.75,0.156,6.375,12.438,21,73.62,122.32,,,,12
14,350,14,0.156,7,13.688,23.09,86.82,162.48,,,,14
16,400,16,0.165,8,15.67,27.93,111.45,257.17,,,,16
18,450,18,0.165,9,17.67,31.46,137.66,367.43,,,,18
20,500,20,0.188,10,19.624,39.82,170.81,573.88,,,,20
22,550,22,0.188,11,21.624,43.84,202.9,765.8,,,,22
24,600,24,0.218,12,23.564,55.42,244.3,1151,,,,24
26,650,26,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
28,700,28,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
30,750,30,0.25,15,29.5,79.51,375.53,2583.87,,,,30
