13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,0.54,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/8,10,0.675,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+1/2,15,0.84,0.188,0.42,0.464,1.31,1.38,0.02,,,,0+1/2
0+3/4,20,1.05,0.219,0.525,0.612,1.95,2.07,0.05,,,,0+3/4
1,25,1.315,0.25,0.6575,0.815,2.85,3.07,0.12,,,,1
1+1/4,32,1.66,0.25,0.83,1.16,3.77,4.22,0.28,,,,1+1/4
1+1/2,40,1.9,0.281,0.95,1.338,4.86,5.46,0.48,,,,1+1/2
2,50,2.375,0.344,1.1875,1.687,7.47,8.43,1.16,,,,2
2+1/2,65,2.875,0.375,1.4375,2.125,10.02,11.55,2.35,,,,2+1/2
3,80,3.5,0.438,1.75,2.624,14.34,16.68,5.03,,,,3
3+1/2,90,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
4,100,4.5,0.531,2.25,3.438,22.53,26.55,13.26,,,,4
5,125,5.563,0.625,2.7815,4.313,32.99,39.31,30.01,,,,5
6,150,6.625,0.719,3.3125,5.187,45.39,54.54,58.99,,,,6
8,200,8.625,0.906,4.3125,6.813,74.76,90.54,165.8,,,,8
10,250,10.75,1.125,5.375,8.5,115.75,140.32,399.1,,,,10
12,300,12.75,1.312,6.375,10.126,160.42,195.29,780.72,,,,12
14,350,14,1.406,7,11.188,189.29,231.86,1116.08,,,,14
16,400,16,1.594,8,12.812,245.48,301.31,1893.4,,,,16
18,450,18,1.781,9,14.438,308.79,379.69,3018.43,,,,18
20,500,20,1.969,10,16.062,379.53,467.28,4584.51,,,,20
22,550,22,2.125,11,17.75,451.49,558.66,6623.02,,,,22
24,600,24,2.344,12,19.312,542.64,669.5,9453.45,,,,24
