13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,13.7,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/8,10,17.1,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+1/2,15,21.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/4,20,26.7,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1,25,33.4,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1+1/4,32,42.2,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
1+1/2,40,48.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
2,50,60.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
2+1/2,65,73,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
3,80,88.9,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
3+1/2,90,101.6,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
4,100,114.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
5,125,141.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
6,150,168.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
8,200,219.1,15.09,109.55,188.92,75.92,103.93,5056.53,,,,8
10,250,273,18.26,136.5,236.48,114.71,158.6,11908.51,,,,10
12,300,323.8,21.44,161.9,280.92,159.87,221.81,23378.44,,,,12
14,350,355.6,23.83,177.8,307.94,194.98,269.41,34332.84,,,,14
16,400,406.4,26.19,203.2,354.02,245.57,343.95,56767.73,,,,16
18,450,457,29.36,228.5,398.28,309.64,434.16,90546.77,,,,18
20,500,508,32.54,254,442.92,381.55,535.54,137920.43,,,,20
22,550,559,34.93,279.5,489.14,451.45,639.26,198212.56,,,,22
24,600,610,38.89,305,532.22,547.74,770.09,285657.78,,,,24
