13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,13.7,1.85,6.85,10,0.54,0.61,0.12,,,,0+1/4
0+3/8,10,17.1,1.85,8.55,13.4,0.7,0.84,0.26,,,,0+3/8
0+1/2,15,21.3,2.41,10.65,16.48,1.12,1.33,0.64,,,,0+1/2
0+3/4,20,26.7,2.41,13.35,21.88,1.44,1.81,1.36,,,,0+3/4
1,25,33.4,2.9,16.7,27.6,2.18,2.77,3.25,,,,1
1+1/4,32,42.2,2.97,21.1,36.26,2.87,3.9,7.07,,,,1+1/4
1+1/2,40,48.3,3.18,24.15,41.94,3.53,4.91,11.52,,,,1+1/2
2,50,60.3,3.18,30.15,53.94,4.48,6.76,23.33,,,,2
2+1/2,65,73,4.78,36.5,63.44,8.04,11.19,59.85,,,,2+1/2
3,80,88.9,4.78,44.45,79.34,9.92,14.86,112.03,,,,3
3+1/2,90,101.6,4.78,50.8,92.04,11.41,18.06,170.69,,,,3+1/2
4,100,114.3,4.78,57.15,104.74,12.91,21.52,246.93,,,,4
5,125,141.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
6,150,168.3,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
8,200,219.1,7.04,109.55,205.02,36.82,69.81,2637.95,,,,8
10,250,273,7.8,136.5,257.4,51.01,103.01,5715.18,,,,10
12,300,323.8,8.38,161.9,307.04,65.19,139.19,10328.98,,,,12
14,350,355.6,9.53,177.8,336.54,81.33,170.23,15515.06,,,,14
16,400,406.4,9.53,203.2,387.34,93.27,211.04,23395.25,,,,16
18,450,457,11.13,228.5,434.74,122.38,270.74,38746.28,,,,18
20,500,508,12.7,254,482.6,155.13,337.95,60608.53,,,,20
22,550,559,12.7,279.5,533.6,171.1,394.61,81315.18,,,,22
24,600,610,14.27,305,581.46,209.65,475.05,118484.39,,,,24
26,650,660,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
28,700,711,15.88,355.5,679.24,272.23,634.4,209457.59,,,,28
30,750,762,15.88,381,730.24,292.2,710.8,259007.82,,,,30
32,800,813,15.88,406.5,781.24,312.17,791.28,315815.61,,,,32
34,850,864,15.88,432,832.24,332.14,875.84,380377.04,,,,34
36,900,914,15.88,457,882.24,351.73,962.73,451678.08,,,,36
