13,2-DN,3-OD,4-WallThk,5-Half OD,6-ID,7-Wt per Unit Len,8-Wt Per Unit Length + Water,9-M of I,10-SPA,11-SPA,12-SPA,13-NPS
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SPA,SPA,SPA,0+1/8
0+1/4,8,13.7,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+3/8,10,17.1,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
0+1/2,15,21.3,4.78,10.65,11.74,1.95,2.05,0.91,,,,0+1/2
0+3/4,20,26.7,5.56,13.35,15.58,2.9,3.09,2.2,,,,0+3/4
1,25,33.4,6.35,16.7,20.7,4.24,4.57,5.2,,,,1
1+1/4,32,42.2,6.35,21.1,29.5,5.61,6.29,11.84,,,,1+1/4
1+1/2,40,48.3,7.14,24.15,34.02,7.25,8.15,20.12,,,,1+1/2
2,50,60.3,8.74,30.15,42.82,11.11,12.54,48.37,,,,2
2+1/2,65,73,9.53,36.5,53.94,14.92,17.2,97.79,,,,2+1/2
3,80,88.9,11.13,44.45,66.64,21.35,24.83,209.68,,,,3
3+1/2,90,101.6,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A
4,100,114.3,13.49,57.15,87.32,33.54,39.52,552.16,,,,4
5,125,141.3,15.88,70.65,109.54,49.12,58.53,1249.38,,,,5
6,150,168.3,18.26,84.15,131.78,67.57,81.2,2456.66,,,,6
8,200,219.1,23.01,109.55,173.08,111.27,134.78,6903.38,,,,8
10,250,273,28.58,136.5,215.84,172.27,208.84,16603.88,,,,10
12,300,323.8,33.32,161.9,257.16,238.69,290.6,32476.58,,,,12
14,350,355.6,35.71,177.8,284.18,281.72,345.11,46452.6,,,,14
16,400,406.4,40.49,203.2,325.42,365.38,448.51,78812.62,,,,16
18,450,457,45.24,228.5,366.52,459.39,564.84,125460.16,,,,18
20,500,508,50.01,254,407.98,564.85,695.51,190814.84,,,,20
22,550,559,53.98,279.5,451.04,672.3,831.99,276014.48,,,,22
24,600,610,59.54,305,490.92,808.27,997.45,394345.88,,,,24
