23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb   BS10 Table E,nb   BS10 Table E,od,thick CI,thick Co,thick st,rf dia,pcd,no bolts,bolt siz,met bolt,wt kg,bolt wt,bolt len,hole dia,rf height,area,vol mm,vol m,wt kg,,Bolt Len,Bolt wt
23,575,787.4,41.275,34.925,0.79375,N/A,723.9,16,1,27,1.406394454,11.89745802,60,30.1625,N/A,227158.4016,180306.9813,0.000180307,1.406394454,,58.5875,10.09
24,600,825.5,41.275,38.1,38.1,N/A,755.65,16,1+1/4,33,74.98993946,29.57367853,150,35.71875,N/A,252338.4463,9614094.802,0.009614095,74.98993946,,145.2,25.31
27,675,908.05,44.45,0,44.45,N/A,844.55,20,1+1/8,30,100.4106467,29.9671866,155,33.3375,N/A,289609.895,12873159.83,1.29E-02,100.4106467,,151.9,25.81
29,725,977.9,47.625,0,47.625,N/A,901.7,20,1+1/4,33,125.5848418,39.50758598,170,35.71875,N/A,338070.7769,16100620.75,1.61E-02,125.5848418,,164.25,33.94
30,750,996.95,47.625,0,47.625,N/A,927.1,20,1+1/4,33,125.80235,39.50758598,170,35.71875,N/A,338656.3025,16128506.4,1.61E-02,125.80235,,164.25,33.94
33,825,1092.2,50.8,0,50.8,N/A,1016,20,1+1/4,33,159.3425804,40.35441524,175,35.71875,N/A,402136.5344,20428535.95,0.020428536,159.3425804,,170.6,34.5
35,875,1143,50.8,0,50.8,N/A,1066.8,24,1+1/4,33,168.2224399,48.42529829,175,35.71875,N/A,424546.84,21566979.47,0.021566979,168.2224399,,170.6,41.4
36,900,1174.75,50.8,0,50.8,N/A,1092.2,24,1+1/4,33,177.3092718,48.42529829,175,35.71875,N/A,447479.4866,22731957.92,0.022731958,177.3092718,,170.6,41.4
39,975,1257.3,53.975,0,53.975,N/A,1174.75,24,1+3/8,36,208.2669456,62.26755949,185,38.89375,N/A,494689.9577,26700890.46,2.67E-02,208.2669456,,182.95,54.52
42,1050,1333.5,60.325,0,60.325,N/A,1308.1,28,1+3/8,36,249.5915106,75.46731716,200,38.89375,N/A,530441.9663,31998911.61,3.20E-02,249.5915106,,195.65,66.58
45,1125,1416.05,60.325,0,60.325,N/A,1333.5,28,1+3/8,36,273.1759137,75.46731716,200,38.89375,N/A,580564.493,35022553.04,3.50E-02,273.1759137,,195.65,66.58
48,1200,1492.25,60.325,0,60.325,N/A,1409.7,32,1+3/8,36,290.6240131,86.24836247,200,38.89375,N/A,617645.8991,37259488.86,3.73E-02,290.6240131,,195.65,76.09
