23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb     BS10 Table D,nb     BS10 Table D,od,thick CI,thick Co,thick st,rf dia,pcd,no bolts,bolt siz,met bolt,wt kg,bolt wt,bolt len,hole dia,rf height,area,vol mm,vol m,wt kg,,Bolt Len,Bolt wt
29,725,977.9,38.1,0,38.1,0,901.7,20,1+1/8,30,223.08,26.36,145,31.75,N/A,338070.7769,12880496.6,0.012880497,100.4678735,,166.2,24.87
30,750,996.95,34.925,0,34.925,0,927.1,20,1+1/2,39,212.53,50.07,155,41.275,N/A,338656.3025,11827571.36,1.18E-02,92.25505664,,186.85,50.86
33,825,1092.2,41.275,0,41.275,0,1016,20,1+1/2,39,301.47,52.44,165,41.275,N/A,402136.5344,16598185.46,0.016598185,129.4658466,,199.55,52.53
35,875,1143,44.45,0,44.45,0,1066.8,24,1+1/2,39,355.56,66.13,175,41.275,N/A,424546.84,18871107.04,0.018871107,147.1946349,,205.9,65.06
36,900,1231.9,44.45,0,44.45,0,1092.2,24,1+1/2,39,413.03,66.13,175,41.275,N/A,555448.4239,24689682.44,2.47E-02,192.579523,,205.9,65.06
39,975,1257.3,44.45,0,44.45,0,1174.75,24,1+1/2,39,430.23,66.13,175,41.275,N/A,494689.9577,21988968.62,2.20E-02,171.5139552,,205.9,65.06
42,1050,1333.5,47.625,0,47.625,0,1257.3,28,1+1/4,33,518.53,53.44,170,34.925,N/A,530441.9663,25262298.64,2.53E-02,197.0459294,,194.25,47.51
45,1075,1416.05,50.8,0,50.8,0,1333.5,28,1+1/2,39,623.7,82.55,185,41.275,N/A,666914.493,33879256.24,0.033879256,264.2581987,,218.6,78.23
48,1200,1492.25,50.8,0,50.8,0,1409.7,32,2+1/2,64,692.64,340.76,235,66.675,N/A,617645.8991,31376411.67,0.031376412,244.736011,,293.6,330.65
54,1350,1612.9,63.5,0,63.5,0,1536.7,36,3+1/2,90,1011.46,1003.43,315,92.075,N/A,611472.9319,38828531.17,0.038828531,302.8625431,,397,958.03
60,1500,1784.35,60.325,0,60.325,0,1701.8,40,1+3/8,36,1176.03,110.34,200,38.1,N/A,733115.3642,44225184.34,4.42E-02,344.9564379,,228.65,95.12
66,1650,1943.1,63.5,0,63.5,0,1860.55,40,1+3/8,36,1468,112.36,205,38.1,N/A,826713.0239,52496277.01,0.052496277,409.4709607,,235,96.51
72,1800,2108.2,66.675,0,66.675,0,2019.3,44,1+1/2,39,1814.46,155.85,220,41.275,N/A,945538.1834,63043758.38,0.063043758,491.7413153,,250.35,135.82
78,1950,2273.3,63.5,0,100.0125,0,2184.4,44,1+1/2,39,2009.32,153.25,285,41.275,N/A,1071833.419,107196739.8,0.10719674,836.1345703,,317.025,159.76
84,2100,2457.45,73.025,0,100.0125,0,2355.85,44,1+3/4,45,2700.25,227.52,295,47.625,N/A,1278812.494,127897234.6,0.127897235,997.5984299,,335.025,234.78
96,2400,2774.95,82.55,0,100.0125,0,2673.35,52,1+3/4,45,3892.16,291.49,295,47.625,N/A,1523172.789,152336318.6,0.152336319,1188.223285,,335.025,277.47
108,2700,3092.45,88.9,0,100.0125,0,2990.85,56,1+3/4,45,5205.59,328.28,295,47.625,N/A,1784498.897,178472195.9,0.178472196,1392.083128,,335.025,298.81
120,3000,3429,95.25,0,100.0125,0,3314.7,60,2,52,6857.46,518.05,310,53.975,N/A,2165062.185,216533281.8,0.216533282,1688.959598,,356.025,462.84
