20,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
nb,nb,A,E,0+1/8,0+1/4,0+3/8,0+1/2,0+3/4,1,1+1/2,C,wt,ID,Small end len,OA len,text,spare,Lower Limit,Higher Limit
0+1/8,6,N/A,ID>,0.2,0.31,0.43,0.55,0.75,0.94,1.5,<ID,N/A,ID,Small end len,OA len,text,spare,N/A,N/A
0+1/4,8,0.59,0.59,0.39,0,0,0,0,0,0,0.24,0.03,fordata,fordata,fordata,fordata,spare,3,3
0+3/8,10,0.7,0.63,0,0.59,0,0,0,0,0,0.31,0.05,fordata,fordata,fordata,fordata,spare,4,4
0+1/2,15,0.86,0.79,0,0.59,0.63,0,0,0,0,0.31,0.08,fordata,fordata,fordata,fordata,spare,4,5
0+3/4,20,1.06,0.83,0,0,0.63,0.79,0,0,0,0.35,0.1,fordata,fordata,fordata,fordata,spare,5,6
1,25,1.37,0.98,0,0,0,0.79,0.83,0,0,0.39,0.2,fordata,fordata,fordata,fordata,spare,6,7
1+1/2,40,1.96,1.02,0,0,0,0.79,0.83,0.98,0,0.63,0.6,fordata,fordata,fordata,fordata,spare,5,8
2,50,2.44,1.06,0,0,0,0.79,0.83,0.98,1.02,0.71,0.85,fordata,fordata,fordata,fordata,spare,6,9
