8,2,3,4,5,6,7,8
NB,DN,A,H,G,B,L2,WT
0+1/8,6,21,22,3.18,6.4,6.7,0.05
0+1/4,8,21,22,3.18,8.1,10.2,0.12
0+3/8,10,25,25,3.18,9.1,10.4,0.16
0+1/2,15,28,33,3.18,10.9,13.6,0.27
0+3/4,20,33,38,3.18,12.7,13.9,0.43
1,25,38,46,3.68,14.7,17.3,0.61
1+1/4,32,44,56,3.89,17,18,0.92
1+1/2,40,51,62,4.01,17.8,18.4,1.27
2,50,60,75,4.27,19,19.2,2.02
2+1/2,65,76,92,5.61,23.6,28.9,4.32
3,80,86,109,5.99,25.9,30.5,5.85
4,100,106,146,6.55,27.7,33,13.01
