8,2,3,4,5,6,7,8
NB,DN,A,H,G,B,L2,WT
0+1/8,6,0.75,1,0.25,0.25,0.2639,0.11
0+1/4,8,0.88,1.31,0.26,0.32,0.4018,0.29
0+3/8,10,1,1.5,0.275,0.36,0.4078,0.22
0+1/2,15,1.12,1.81,0.321,0.43,0.5337,0.65
0+3/4,20,1.31,2.19,0.336,0.5,0.5457,0.99
1,25,1.38,2.44,0.391,0.58,0.6828,1.26
1+1/4,32,1.69,2.97,0.417,0.67,0.7068,2.12
1+1/2,40,1.72,3.31,0.436,0.7,0.7235,2.6
2,50,2.06,4,0.476,0.75,0.7565,4.3
2+1/2,65,2.5,4.75,0.602,0.93,1.138,6.8
3,80,3.12,5.75,0.655,1.02,1.2,13.86
4,100,3.12,6,0.735,1.09,1.3,16
